
========================================================================
RUN STARTED  2026-07-05 06:34:33
site_pipeline.py https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials/
========================================================================

[06:34:33 +0s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] === 0 crawl site ===
[06:37:55 +3m 37s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:37:55 +3m 37s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 22/40
[06:38:03 +3m 45s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:38:03 +3m 45s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 23/40
[06:38:10 +3m 52s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:38:10 +3m 52s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 24/40
[06:38:16 +3m 59s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:38:16 +3m 59s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 25/40
[06:38:23 +4m 8s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:38:23 +4m 8s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 26/40
[06:38:30 +4m 15s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:38:30 +4m 15s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 27/40
[06:38:37 +4m 22s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:38:37 +4m 22s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 28/40
[06:38:47 +4m 31s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:38:47 +4m 31s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 29/40
[06:38:52 +4m 39s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:38:52 +4m 39s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 30/40
[06:39:00 +4m 47s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:39:00 +4m 47s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 31/40
[06:39:09 +4m 56s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:39:09 +4m 56s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 32/40
[06:39:17 +5m 4s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:39:17 +5m 4s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 33/40
[06:39:34 +5m 23s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:39:34 +5m 23s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 34/40
[06:39:44 +5m 33s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:39:44 +5m 33s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 35/40
[06:39:51 +5m 42s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:39:51 +5m 42s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 36/40
[06:39:59 +5m 50s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:39:59 +5m 50s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 37/40
[06:40:07 +5m 58s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:40:07 +5m 58s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 38/40
[06:40:15 +6m 6s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:40:15 +6m 6s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 39/40
[06:40:20 +6m 14s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:40:20 +6m 14s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 40/40
[06:40:29 +6m 22s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:40:29 +6m 22s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Saved 1_actor_results.json with 78 extracted records

[06:40:29 +6m 22s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] === 2 clean actors ===
[06:40:29 +6m 22s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Loaded 78 extracted records
[06:40:29 +6m 22s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Saved 2_actor_nodes.json with 10 canonical actor nodes

[06:40:29 +6m 22s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] === 3 interaction extraction ===
[06:40:29 +6m 22s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 7/40
[06:40:34 +6m 27s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 11/40
[06:40:42 +6m 36s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 12/40
[06:40:47 +6m 41s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 13/40
[06:41:02 +6m 57s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 14/40
[06:41:35 +7m 33s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 15/40
[06:41:41 +7m 39s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 16/40
[06:41:46 +7m 43s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 17/40
[06:41:49 +7m 49s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 18/40
[06:42:14 +8m 13s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 19/40
[06:42:36 +8m 38s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 20/40
[06:42:43 +8m 45s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting interactions: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 21/40
