
========================================================================
RUN STARTED  2026-07-01 21:58:18
site_pipeline.py https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5/
========================================================================

[21:58:18 +0s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] === 0 crawl site ===
[22:00:17 +1m 50s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:00:17 +1m 50s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 14/34
[22:00:23 +1m 56s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:00:23 +1m 56s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 15/34
[22:00:29 +2m 2s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:00:29 +2m 2s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 16/34
[22:00:38 +2m 9s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:00:38 +2m 9s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 17/34
[22:00:46 +2m 16s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:00:46 +2m 16s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 18/34
[22:00:53 +2m 23s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:00:53 +2m 23s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 19/34
[22:01:01 +2m 32s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:01:01 +2m 32s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 20/34
[22:01:10 +2m 40s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:01:10 +2m 40s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 21/34
[22:01:18 +2m 45s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:01:18 +2m 45s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 22/34
[22:01:26 +2m 53s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:01:26 +2m 53s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 23/34
