
========================================================================
RUN STARTED  2026-06-17 15:25:51
site_pipeline.py https://www.turing.com/
========================================================================

[15:25:51 +0s | turing] === 0 crawl site ===
[15:25:52 +1s | turing] [INIT].... → Crawl4AI 0.8.6 
[15:25:53 +3s | turing] [FETCH]... ↓ https://www.turing.com/                                                                              | ✓ | ⏱: 1.24s 
[15:26:03 +13s | turing] [SCRAPE].. ◆ https://turing.com/policy                                                                            | ✓ | ⏱: 0.13s 
[15:26:03 +13s | turing] [COMPLETE] ● https://turing.com/policy                                                                            | ✓ | ⏱: 5.27s 
[15:26:04 +13s | turing] [FETCH]... ↓ https://www.turing.com/advance/domain                                                                | ✓ | ⏱: 5.09s 
[15:26:04 +13s | turing] [SCRAPE].. ◆ https://www.turing.com/advance/domain                                                                | ✓ | ⏱: 0.08s 
[15:26:04 +13s | turing] [COMPLETE] ● https://www.turing.com/advance/domain                                                                | ✓ | ⏱: 5.20s 
[15:26:04 +13s | turing] [FETCH]... ↓ https://www.turing.com/advance/multimodality                                                         | ✓ | ⏱: 5.28s 
[15:26:04 +13s | turing] [SCRAPE].. ◆ https://www.turing.com/advance/multimodality                                                         | ✓ | ⏱: 0.09s 
[15:26:04 +13s | turing] [COMPLETE] ● https://www.turing.com/advance/multimodality                                                         | ✓ | ⏱: 5.40s 
[15:26:04 +13s | turing] [FETCH]... ↓ https://www.turing.com/advance/safety                                                                | ✓ | ⏱: 5.45s 
[15:26:04 +13s | turing] [SCRAPE].. ◆ https://www.turing.com/advance/safety                                                                | ✓ | ⏱: 0.08s 
[15:26:04 +13s | turing] [COMPLETE] ● https://www.turing.com/advance/safety                                                                | ✓ | ⏱: 5.56s 
[15:26:04 +13s | turing] [FETCH]... ↓ https://www.turing.com/blog/agi-advance-newsletter-62                                                | ✓ | ⏱: 5.76s 
[15:26:04 +13s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/agi-advance-newsletter-62                                                | ✓ | ⏱: 0.09s 
[15:26:04 +14s | turing] [COMPLETE] ● https://www.turing.com/blog/agi-advance-newsletter-62                                                | ✓ | ⏱: 5.88s 
[15:26:04 +14s | turing] [FETCH]... ↓ https://turing.com/terms-of-service                                                                  | ✓ | ⏱: 6.01s 
[15:26:04 +14s | turing] [SCRAPE].. ◆ https://turing.com/terms-of-service                                                                  | ✓ | ⏱: 0.08s 
[15:26:05 +14s | turing] [COMPLETE] ● https://turing.com/terms-of-service                                                                  | ✓ | ⏱: 6.12s 
[15:26:05 +14s | turing] [FETCH]... ↓ https://www.turing.com/blog/agi-advance-newsletter-63                                                | ✓ | ⏱: 5.05s 
[15:26:05 +14s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/agi-advance-newsletter-63                                                | ✓ | ⏱: 0.09s 
[15:26:05 +14s | turing] [COMPLETE] ● https://www.turing.com/blog/agi-advance-newsletter-63                                                | ✓ | ⏱: 5.17s 
[15:26:05 +14s | turing] [FETCH]... ↓ https://www.turing.com/advance/rl-gyms                                                               | ✓ | ⏱: 6.38s 
[15:26:05 +14s | turing] [SCRAPE].. ◆ https://www.turing.com/advance/rl-gyms                                                               | ✓ | ⏱: 0.09s 
[15:26:05 +14s | turing] [COMPLETE] ● https://www.turing.com/advance/rl-gyms                                                               | ✓ | ⏱: 6.51s 
[15:26:05 +14s | turing] [FETCH]... ↓ https://www.turing.com/blog/agi-advance-newsletter-64                                                | ✓ | ⏱: 5.34s 
[15:26:05 +14s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/agi-advance-newsletter-64                                                | ✓ | ⏱: 0.09s 
[15:26:05 +14s | turing] [COMPLETE] ● https://www.turing.com/blog/agi-advance-newsletter-64                                                | ✓ | ⏱: 5.46s 
[15:26:05 +14s | turing] [FETCH]... ↓ https://www.turing.com/blog/agi-advance-newsletter-65                                                | ✓ | ⏱: 5.47s 
[15:26:05 +15s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/agi-advance-newsletter-65                                                | ✓ | ⏱: 0.09s 
[15:26:05 +15s | turing] [COMPLETE] ● https://www.turing.com/blog/agi-advance-newsletter-65                                                | ✓ | ⏱: 5.60s 
[15:26:06 +15s | turing] [FETCH]... ↓ https://www.turing.com/blog/agi-advance-newsletter-67                                                | ✓ | ⏱: 4.74s 
[15:26:06 +15s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/agi-advance-newsletter-67                                                | ✓ | ⏱: 0.11s 
[15:26:06 +15s | turing] [COMPLETE] ● https://www.turing.com/blog/agi-advance-newsletter-67                                                | ✓ | ⏱: 4.89s 
[15:26:06 +15s | turing] [FETCH]... ↓ https://www.turing.com/blog/agi-advance-newsletter-66                                                | ✓ | ⏱: 6.12s 
[15:26:06 +15s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/agi-advance-newsletter-66                                                | ✓ | ⏱: 0.10s 
[15:26:06 +15s | turing] [COMPLETE] ● https://www.turing.com/blog/agi-advance-newsletter-66                                                | ✓ | ⏱: 6.25s 
[15:26:06 +15s | turing] [FETCH]... ↓ https://www.turing.com/blog/agi-advance-newsletter-68                                                | ✓ | ⏱: 4.80s 
[15:26:06 +15s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/agi-advance-newsletter-68                                                | ✓ | ⏱: 0.07s 
[15:26:06 +15s | turing] [COMPLETE] ● https://www.turing.com/blog/agi-advance-newsletter-68                                                | ✓ | ⏱: 4.90s 
[15:26:06 +16s | turing] [FETCH]... ↓ https://www.turing.com/blog/passing-the-turing-test-whats-next                                       | ✓ | ⏱: 4.57s 
[15:26:06 +16s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/passing-the-turing-test-whats-next                                       | ✓ | ⏱: 0.06s 
[15:26:06 +16s | turing] [COMPLETE] ● https://www.turing.com/blog/passing-the-turing-test-whats-next                                       | ✓ | ⏱: 4.65s 
[15:26:07 +16s | turing] [FETCH]... ↓ https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact                           | ✓ | ⏱: 4.29s 
[15:26:07 +16s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact                           | ✓ | ⏱: 0.06s 
[15:26:07 +16s | turing] [COMPLETE] ● https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact                           | ✓ | ⏱: 4.38s 
[15:26:07 +16s | turing] [FETCH]... ↓ https://www.turing.com/intelligence/advise                                                           | ✓ | ⏱: 3.75s 
[15:26:07 +16s | turing] [SCRAPE].. ◆ https://www.turing.com/intelligence/advise                                                           | ✓ | ⏱: 0.06s 
[15:26:07 +16s | turing] [COMPLETE] ● https://www.turing.com/intelligence/advise                                                           | ✓ | ⏱: 3.84s 
[15:26:07 +16s | turing] [FETCH]... ↓ https://www.turing.com/intelligence/build                                                            | ✓ | ⏱: 3.55s 
[15:26:07 +16s | turing] [SCRAPE].. ◆ https://www.turing.com/intelligence/build                                                            | ✓ | ⏱: 0.07s 
[15:26:07 +16s | turing] [COMPLETE] ● https://www.turing.com/intelligence/build                                                            | ✓ | ⏱: 3.65s 
[15:26:07 +16s | turing] [FETCH]... ↓ https://www.turing.com/intelligence/get-talent                                                       | ✓ | ⏱: 3.36s 
[15:26:07 +16s | turing] [SCRAPE].. ◆ https://www.turing.com/intelligence/get-talent                                                       | ✓ | ⏱: 0.06s 
[15:26:07 +16s | turing] [COMPLETE] ● https://www.turing.com/intelligence/get-talent                                                       | ✓ | ⏱: 3.44s 
[15:26:07 +16s | turing] [FETCH]... ↓ https://www.turing.com/blog/beyond-the-turing-test-redefining-ai-progress                            | ✓ | ⏱: 5.22s 
[15:26:07 +16s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/beyond-the-turing-test-redefining-ai-progress                            | ✓ | ⏱: 0.06s 
[15:26:07 +16s | turing] [COMPLETE] ● https://www.turing.com/blog/beyond-the-turing-test-redefining-ai-progress                            | ✓ | ⏱: 5.32s 
[15:26:07 +16s | turing] [FETCH]... ↓ https://www.turing.com/resources/undefined                                                           | ✓ | ⏱: 2.96s 
[15:26:07 +16s | turing] [SCRAPE].. ◆ https://www.turing.com/resources/undefined                                                           | ✓ | ⏱: 0.04s 
[15:26:07 +16s | turing] [COMPLETE] ● https://www.turing.com/resources/undefined                                                           | ✓ | ⏱: 3.01s 
[15:26:07 +16s | turing] [FETCH]... ↓ https://www.turing.com/intelligence/talent                                                           | ✓ | ⏱: 3.38s 
[15:26:07 +16s | turing] [SCRAPE].. ◆ https://www.turing.com/intelligence/talent                                                           | ✓ | ⏱: 0.05s 
[15:26:07 +16s | turing] [COMPLETE] ● https://www.turing.com/intelligence/talent                                                           | ✓ | ⏱: 3.44s 
[15:26:07 +16s | turing] [FETCH]... ↓ https://www.turing.com/intelligence                                                                  | ✓ | ⏱: 4.63s 
[15:26:07 +16s | turing] [SCRAPE].. ◆ https://www.turing.com/intelligence                                                                  | ✓ | ⏱: 0.05s 
[15:26:07 +16s | turing] [COMPLETE] ● https://www.turing.com/intelligence                                                                  | ✓ | ⏱: 4.70s 
[15:26:07 +16s | turing] Saved: crawl_output/6781d85dae_www.turing.com.json
[15:26:07 +16s | turing] Saved: crawl_output/7ef871dc7a_work.turing.com.json
[15:26:07 +16s | turing] Duplicate skipped: https://www.turing.com
[15:26:07 +16s | turing] Saved: crawl_output/fd9d7ea56c_work.turing.com_jobs.json
[15:26:07 +16s | turing] Duplicate skipped: https://work.turing.com/jobs
[15:26:07 +16s | turing] Duplicate skipped: https://work.turing.com/jobs
[15:26:07 +16s | turing] Saved: crawl_output/4cd749c9c4_www.turing.com_policy.json
[15:26:07 +16s | turing] Saved: crawl_output/ccd058a0ac_www.turing.com_press.json
[15:26:07 +16s | turing] Duplicate skipped: https://work.turing.com/jobs
[15:26:07 +16s | turing] Saved: crawl_output/ad8323ea09_www.turing.com_get-started.json
[15:26:07 +16s | turing] Saved: crawl_output/b72d58fffb_www.turing.com_company.json
[15:26:07 +16s | turing] Saved: crawl_output/393805d19b_www.turing.com_blog.json
[15:26:07 +16s | turing] Saved: crawl_output/15827ff072_www.turing.com_blog_data-and-deployment-loop.json
[15:26:07 +16s | turing] Duplicate skipped: https://work.turing.com/jobs
[15:26:07 +16s | turing] Duplicate skipped: https://work.turing.com/jobs
[15:26:07 +16s | turing] Duplicate skipped: https://work.turing.com/jobs
[15:26:07 +16s | turing] Saved: crawl_output/54d9f51250_work.turing.com_login.json
[15:26:07 +16s | turing] Duplicate skipped: https://work.turing.com/jobs
[15:26:07 +16s | turing] Duplicate skipped: https://work.turing.com/jobs
[15:26:07 +16s | turing] Duplicate skipped: https://work.turing.com/jobs
[15:26:07 +16s | turing] Saved: crawl_output/c8fb404133_www.turing.com_advance.json
[15:26:07 +16s | turing] Saved: crawl_output/e35fb99234_research.turing.com_crave.json
[15:26:07 +16s | turing] Saved: crawl_output/4bcdb2ddd6_research.turing.com_swebench.json
[15:26:07 +16s | turing] Saved: crawl_output/b6b8728c21_go.turing.com_llm-model-evaluation.json
[15:26:07 +16s | turing] Saved: crawl_output/e3b945c6b9_www.turing.com_advance_datasets.json
[15:26:07 +16s | turing] Saved: crawl_output/939e455e06_developers.turing.com_signup.json
[15:26:07 +16s | turing] Saved: crawl_output/6eb15f74df_www.turing.com_advance_datasets_robotics.json
[15:26:07 +16s | turing] Saved: crawl_output/9eb7ae03bb_www.turing.com_advance_contact.json
[15:26:07 +16s | turing] Saved: crawl_output/35f0db33ad_www.turing.com_blog_agi-advance-newsletter-61.json
[15:26:07 +16s | turing] Saved: crawl_output/6276bf686b_www.turing.com_advance_coding.json
[15:26:07 +16s | turing] Saved: crawl_output/d322266981_www.turing.com_blog_75-years-of-the-turing-test-from-thought-experiment-to-applied-intelligence.json
[15:26:07 +16s | turing] Saved: crawl_output/bbe422cdcc_customers.turing.com_services_company.json
[15:26:07 +16s | turing] Saved: crawl_output/9dd2502079_www.turing.com_advance_stem.json
[15:26:07 +16s | turing] Saved: crawl_output/b0dfc062a1_turing.com_policy.json
[15:26:07 +16s | turing] Saved: crawl_output/403d9bedce_www.turing.com_advance_domain.json
[15:26:07 +16s | turing] Saved: crawl_output/f0b52a18a8_www.turing.com_advance_multimodality.json
[15:26:07 +16s | turing] Saved: crawl_output/085305a635_www.turing.com_advance_safety.json
[15:26:07 +16s | turing] Saved: crawl_output/cdd5c88b9e_www.turing.com_blog_agi-advance-newsletter-62.json
[15:26:07 +16s | turing] Skipped: https://turing.com/terms-of-service
[15:26:07 +16s | turing] Saved: crawl_output/58652755f5_www.turing.com_blog_agi-advance-newsletter-63.json
[15:26:07 +16s | turing] Saved: crawl_output/f81dfa3d00_www.turing.com_advance_rl-gyms.json
[15:26:07 +16s | turing] Saved: crawl_output/8e7472612e_www.turing.com_blog_agi-advance-newsletter-64.json
[15:26:07 +16s | turing] Saved: crawl_output/4f1f10c808_www.turing.com_blog_agi-advance-newsletter-65.json
[15:26:07 +16s | turing] Saved: crawl_output/bada6e9350_www.turing.com_blog_agi-advance-newsletter-67.json
[15:26:07 +16s | turing] Saved: crawl_output/c9d8d5f753_www.turing.com_blog_agi-advance-newsletter-66.json
[15:26:07 +16s | turing] Saved: crawl_output/03ccc206bd_www.turing.com_blog_agi-advance-newsletter-68.json
[15:26:07 +16s | turing] Saved: crawl_output/f962149ca5_www.turing.com_blog_passing-the-turing-test-whats-next.json
[15:26:07 +16s | turing] Saved: crawl_output/232ce44224_www.turing.com_blog_rethinking-ai-benchmarks-for-real-world-impact.json
[15:26:07 +16s | turing] Saved: crawl_output/320b9e86e1_www.turing.com_intelligence_advise.json
[15:26:07 +16s | turing] Saved: crawl_output/6f857ad68c_www.turing.com_intelligence_build.json
[15:26:07 +16s | turing] Saved: crawl_output/e63541f74b_www.turing.com_intelligence_get-talent.json
[15:26:07 +16s | turing] Saved: crawl_output/fbb009b6db_www.turing.com_blog_beyond-the-turing-test-redefining-ai-progress.json
[15:26:07 +16s | turing] Saved: crawl_output/b649d5bcf3_www.turing.com_resources_undefined.json
[15:26:07 +16s | turing] Saved: crawl_output/2a4f1ae6ef_www.turing.com_intelligence_talent.json
[15:26:07 +16s | turing] Saved: crawl_output/4818dbc0d9_www.turing.com_intelligence.json

[15:26:08 +17s | turing] === 1 actor extraction ===
[15:26:08 +17s | turing] Reading page (1/44): https://www.turing.com/blog/agi-advance-newsletter-68
[15:26:08 +17s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 1/13
[15:26:11 +20s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 2/13
[15:26:16 +25s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 3/13
[15:26:22 +31s | turing] Repaired malformed JSON.
[15:26:22 +31s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 4/13
[15:26:26 +35s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 5/13
