
========================================================================
RUN STARTED  2026-07-05 09:09:05
site_pipeline.py https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech/
========================================================================

[09:09:05 +0s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] === 0 crawl site ===
[09:14:12 +5m 34s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 34/36
[09:14:19 +5m 41s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:14:19 +5m 41s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 35/36
[09:14:23 +5m 48s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:14:23 +5m 48s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 36/36
[09:14:31 +5m 55s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:14:31 +5m 55s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Saved 1_actor_results.json with 70 extracted records

[09:14:31 +5m 55s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] === 2 clean actors ===
[09:14:31 +5m 56s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Loaded 70 extracted records
[09:14:31 +5m 56s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Saved 2_actor_nodes.json with 10 canonical actor nodes

[09:14:31 +5m 56s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] === 3 interaction extraction ===
[09:14:31 +5m 56s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting interactions: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 7/36
[09:14:42 +6m 7s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting interactions: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 11/36

========================================================================
RUN FINISHED 2026-07-05 09:14:50  (INTERRUPTED)
Started:     2026-07-05 09:09:05
Elapsed:     6m 14s
========================================================================
