
========================================================================
RUN STARTED  2026-07-02 12:39:21
site_pipeline.py https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open/
========================================================================

[12:39:21 +0s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] === 0 crawl site ===
[12:41:14 +1m 53s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 16/35
[12:41:19 +1m 58s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:41:19 +1m 58s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 17/35
[12:41:25 +2m 4s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:41:25 +2m 4s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 18/35
[12:41:32 +2m 11s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:41:32 +2m 11s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 19/35
[12:41:39 +2m 18s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:41:39 +2m 18s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 20/35
[12:41:49 +2m 27s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:41:49 +2m 27s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 21/35
[12:41:55 +2m 34s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:41:55 +2m 34s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 22/35
[12:42:03 +2m 42s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:42:03 +2m 42s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 23/35
[12:42:11 +2m 50s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:42:11 +2m 50s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 24/35
[12:42:18 +2m 57s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:42:18 +2m 57s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 25/35
[12:42:26 +3m 4s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:42:26 +3m 4s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 26/35
[12:42:32 +3m 11s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:42:32 +3m 11s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 27/35
[12:42:39 +3m 18s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:42:39 +3m 18s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 28/35
[12:42:47 +3m 26s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:42:47 +3m 26s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 29/35
[12:42:48 +3m 27s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 30/35
[12:42:54 +3m 33s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:42:54 +3m 33s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 31/35
[12:43:01 +3m 40s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:43:01 +3m 40s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 32/35
[12:43:07 +3m 46s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:43:07 +3m 46s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 33/35
[12:43:14 +3m 53s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:43:14 +3m 53s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 34/35
[12:43:20 +3m 59s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:43:20 +3m 59s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 35/35
[12:43:27 +4m 6s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:43:27 +4m 6s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Saved 1_actor_results.json with 65 extracted records

[12:43:27 +4m 6s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] === 2 clean actors ===
[12:43:27 +4m 6s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Loaded 65 extracted records
[12:43:27 +4m 6s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Saved 2_actor_nodes.json with 9 canonical actor nodes

[12:43:27 +4m 6s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] === 3 interaction extraction ===
[12:43:27 +4m 6s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 11/35
[12:43:31 +4m 10s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 12/35
[12:43:47 +4m 26s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 13/35
[12:44:21 +5m 0s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 14/35
[12:44:26 +5m 5s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 15/35
[12:44:37 +5m 16s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 16/35
[12:44:43 +5m 22s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 17/35
[12:44:46 +5m 25s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 18/35
[12:44:51 +5m 30s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 19/35
[12:44:55 +5m 34s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 20/35
[12:44:58 +5m 37s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 21/35
[12:45:04 +5m 43s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting interactions: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 24/35
[12:45:06 +5m 45s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Saved 3_interaction_results.json with 20 extracted interactions.

[12:45:06 +5m 45s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] === 4 clean interactions ===
[12:45:06 +5m 45s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Saved 4_edges.json with 8 cleaned interactions.

[12:45:06 +5m 45s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] === 5 helix enrichment ===
[12:45:06 +5m 45s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Wrote 5_nodes.json (9 actors)
[12:45:06 +5m 45s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Wrote 5_edges.json (8 interactions)
[12:45:06 +5m 45s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Actor helix counts: {'Academia': 1, 'Civil Society': 2, 'Industry': 5, 'Unknown': 1}
[12:45:06 +5m 45s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Functional-space counts: {'Intra-helix / Not classified': 8}

[12:45:06 +5m 45s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] === 6 network visualisation ===
[12:45:07 +5m 46s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Wrote quantum_network.html
[12:45:07 +5m 46s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Nodes: 9
[12:45:07 +5m 46s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Edges: 3

[12:45:07 +5m 46s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Done. Outputs written to: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open
[12:45:07 +5m 46s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Log: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open/run.log

========================================================================
RUN FINISHED 2026-07-02 12:45:07  (OK)
Started:     2026-07-02 12:39:21
Elapsed:     5m 46s
========================================================================
