
========================================================================
RUN STARTED  2026-07-01 21:40:54
site_pipeline.py https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1/
========================================================================

[21:40:54 +0s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] === 0 crawl site ===
[21:43:54 +2m 45s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] === 3 interaction extraction ===
[21:43:54 +2m 45s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 11/25
[21:43:55 +2m 47s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 12/25
[21:43:58 +2m 50s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 13/25
[21:44:02 +2m 54s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 14/25
[21:44:08 +3m 0s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 15/25
[21:44:24 +3m 13s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 16/25
[21:44:40 +3m 29s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 17/25
[21:44:58 +3m 44s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 18/25
[21:45:11 +3m 57s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 19/25
[21:45:20 +4m 6s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 20/25
[21:45:35 +4m 18s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 22/25
[21:45:37 +4m 19s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting interactions: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 23/25
[21:45:45 +4m 27s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Saved 3_interaction_results.json with 25 extracted interactions.

[21:45:45 +4m 27s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] === 4 clean interactions ===
[21:45:45 +4m 27s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Saved 4_edges.json with 2 cleaned interactions.

[21:45:45 +4m 27s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] === 5 helix enrichment ===
[21:45:45 +4m 27s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Wrote 5_nodes.json (14 actors)
[21:45:45 +4m 27s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Wrote 5_edges.json (2 interactions)
[21:45:45 +4m 27s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Actor helix counts: {'Civil Society': 4, 'Government': 3, 'Industry': 2, 'Intermediary': 1, 'Unknown': 4}
[21:45:45 +4m 27s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Functional-space counts: {'Unknown': 2}

[21:45:45 +4m 27s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] === 6 network visualisation ===
[21:45:45 +4m 28s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Wrote quantum_network.html
[21:45:45 +4m 28s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Nodes: 14
[21:45:45 +4m 28s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Edges: 1

[21:45:45 +4m 28s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Done. Outputs written to: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0
[21:45:45 +4m 28s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Log: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0/run.log

========================================================================
RUN FINISHED 2026-07-01 21:45:45  (OK)
Started:     2026-07-01 21:40:54
Elapsed:     4m 28s
========================================================================
