
========================================================================
RUN STARTED  2026-06-16 22:16:01
site_pipeline.py https://www.bluequbit.io/
========================================================================

[22:16:01 +0s | bluequbit] === 0 crawl site ===
[22:16:06 +3s | bluequbit] [INIT].... → Crawl4AI 0.8.6 
[22:16:08 +4s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/                                                                            | ✓ | ⏱: 1.28s 
[22:16:13 +9s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/research                                                                    | ✓ | ⏱: 0.02s 
[22:16:13 +9s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/research                                                                    | ✓ | ⏱: 4.64s 
[22:16:13 +9s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-mechanical-model                                               | ✓ | ⏱: 4.66s 
[22:16:13 +9s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-mechanical-model                                               | ✓ | ⏱: 0.03s 
[22:16:13 +9s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-mechanical-model                                               | ✓ | ⏱: 4.71s 
[22:16:13 +9s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-computing-simulators                                           | ✓ | ⏱: 4.71s 
[22:16:13 +9s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-computing-simulators                                           | ✓ | ⏱: 0.02s 
[22:16:13 +9s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-computing-simulators                                           | ✓ | ⏱: 4.75s 
[22:16:13 +9s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/platform                                                                    | ✓ | ⏱: 4.75s 
[22:16:13 +9s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/platform                                                                    | ✓ | ⏱: 0.04s 
[22:16:13 +9s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/platform                                                                    | ✓ | ⏱: 4.80s 
[22:16:17 +13s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/pricing                                                                     | ✓ | ⏱: 8.74s 
[22:16:17 +13s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/pricing                                                                     | ✓ | ⏱: 0.04s 
[22:16:17 +13s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/pricing                                                                     | ✓ | ⏱: 8.79s 
[22:16:17 +13s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog                                                                        | ✓ | ⏱: 8.78s 
[22:16:17 +13s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog                                                                        | ✓ | ⏱: 0.02s 
[22:16:17 +13s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog                                                                        | ✓ | ⏱: 8.81s 
[22:16:17 +13s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/contact-us                                                                  | ✓ | ⏱: 8.85s 
[22:16:17 +14s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/contact-us                                                                  | ✓ | ⏱: 0.02s 
[22:16:17 +14s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/contact-us                                                                  | ✓ | ⏱: 8.89s 
[22:16:18 +14s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/sdk-docs/index.html                                                         | ✓ | ⏱: 9.61s 
[22:16:18 +14s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/sdk-docs/index.html                                                         | ✓ | ⏱: 0.02s 
[22:16:18 +14s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/sdk-docs/index.html                                                         | ✓ | ⏱: 9.64s 
[22:16:20 +17s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/docs                                                                        | ✓ | ⏱: 12.17s 
[22:16:20 +17s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/docs                                                                        | ✓ | ⏱: 0.00s 
[22:16:20 +17s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/docs                                                                        | ✗ | ⏱: 12.18s 
[22:16:20 +17s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/hackathons/GFgHTGbTylwmMsCp                                                 | ✓ | ⏱: 12.19s 
[22:16:20 +17s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/hackathons/GFgHTGbTylwmMsCp                                                 | ✓ | ⏱: 0.00s 
[22:16:20 +17s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/hackathons/GFgHTGbTylwmMsCp                                                 | ✗ | ⏱: 12.20s 
[22:16:20 +17s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/                                                                            | ✓ | ⏱: 12.41s 
[22:16:20 +17s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/                                                                            | ✓ | ⏱: 0.00s 
[22:16:20 +17s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/                                                                            | ✗ | ⏱: 12.42s 
[22:16:21 +18s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/?v=start_for_free                                                           | ✓ | ⏱: 1.13s 
[22:16:21 +18s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/?v=start_for_free                                                           | ✓ | ⏱: 0.00s 
[22:16:21 +18s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/?v=start_for_free                                                           | ✗ | ⏱: 1.14s 
[22:16:22 +18s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog-author/arul-rhik-mazumder                                              | ✓ | ⏱: 1.36s 
[22:16:22 +18s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog-author/arul-rhik-mazumder                                              | ✓ | ⏱: 0.02s 
[22:16:22 +18s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog-author/arul-rhik-mazumder                                              | ✓ | ⏱: 1.39s 
[22:16:22 +18s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/sdk-docs/LICENSE.html                                                       | ✓ | ⏱: 1.18s 
[22:16:22 +18s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/sdk-docs/LICENSE.html                                                       | ✓ | ⏱: 0.14s 
[22:16:22 +18s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/sdk-docs/LICENSE.html                                                       | ✓ | ⏱: 1.34s 
[22:16:22 +19s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html                                                 | ✓ | ⏱: 1.50s 
[22:16:22 +19s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html                                                 | ✓ | ⏱: 0.18s 
[22:16:22 +19s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html                                                 | ✓ | ⏱: 1.70s 
[22:16:22 +19s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/law-of-superposition                                                   | ✓ | ⏱: 1.77s 
[22:16:22 +19s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/law-of-superposition                                                   | ✓ | ⏱: 0.06s 
[22:16:22 +19s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/law-of-superposition                                                   | ✓ | ⏱: 1.85s 
[22:16:23 +19s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-annealing                                                      | ✓ | ⏱: 1.94s 
[22:16:23 +19s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-annealing                                                      | ✓ | ⏱: 0.05s 
[22:16:23 +19s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-annealing                                                      | ✓ | ⏱: 2.02s 
[22:16:23 +19s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/how-does-quantum-computing-work                                        | ✓ | ⏱: 2.03s 
[22:16:23 +20s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/how-does-quantum-computing-work                                        | ✓ | ⏱: 0.59s 
[22:16:23 +20s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/how-does-quantum-computing-work                                        | ✓ | ⏱: 2.64s 
[22:16:23 +20s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications                                  | ✓ | ⏱: 2.68s 
[22:16:23 +20s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications                                  | ✓ | ⏱: 0.04s 
[22:16:23 +20s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications                                  | ✓ | ⏱: 2.76s 
[22:16:23 +20s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-computing-and-ai                                               | ✓ | ⏱: 2.80s 
[22:16:23 +20s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-computing-and-ai                                               | ✓ | ⏱: 0.05s 
[22:16:23 +20s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-computing-and-ai                                               | ✓ | ⏱: 2.89s 
[22:16:23 +20s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/bluequbit-darpa                                                        | ✓ | ⏱: 2.91s 
[22:16:24 +20s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/bluequbit-darpa                                                        | ✓ | ⏱: 0.04s 
[22:16:24 +20s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/bluequbit-darpa                                                        | ✓ | ⏱: 2.98s 
[22:16:24 +20s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog-author/hrant-gharibyan                                                 | ✓ | ⏱: 3.12s 
[22:16:24 +20s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog-author/hrant-gharibyan                                                 | ✓ | ⏱: 0.02s 
[22:16:24 +20s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog-author/hrant-gharibyan                                                 | ✓ | ⏱: 3.16s 
[22:16:24 +20s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-computing-stocks                                               | ✓ | ⏱: 3.19s 
[22:16:24 +20s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-computing-stocks                                               | ✓ | ⏱: 0.04s 
[22:16:24 +20s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-computing-stocks                                               | ✓ | ⏱: 3.25s 
[22:16:24 +20s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-computing-hardware                                             | ✓ | ⏱: 3.26s 
[22:16:24 +20s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-computing-hardware                                             | ✓ | ⏱: 0.07s 
[22:16:24 +20s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-computing-hardware                                             | ✓ | ⏱: 3.35s 
[22:16:24 +20s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits                               | ✓ | ⏱: 3.38s 
[22:16:24 +21s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits                               | ✓ | ⏱: 0.07s 
[22:16:24 +21s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-advantage-inside-peaked-circuits                               | ✓ | ⏱: 3.48s 
[22:16:24 +21s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/google-quantum-computer                                                | ✓ | ⏱: 3.52s 
[22:16:24 +21s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/google-quantum-computer                                                | ✓ | ⏱: 0.06s 
[22:16:24 +21s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/google-quantum-computer                                                | ✓ | ⏱: 3.61s 
[22:16:24 +21s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-computing-applications                                         | ✓ | ⏱: 3.65s 
[22:16:24 +21s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-computing-applications                                         | ✓ | ⏱: 0.05s 
[22:16:24 +21s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-computing-applications                                         | ✓ | ⏱: 3.74s 
[22:16:24 +21s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog-author/hayk-tepanyan                                                   | ✓ | ⏱: 3.76s 
[22:16:24 +21s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog-author/hayk-tepanyan                                                   | ✓ | ⏱: 0.02s 
[22:16:24 +21s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog-author/hayk-tepanyan                                                   | ✓ | ⏱: 3.81s 
[22:16:24 +21s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing                               | ✓ | ⏱: 3.11s 
[22:16:25 +21s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing                               | ✓ | ⏱: 0.07s 
[22:16:25 +21s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing                               | ✓ | ⏱: 3.21s 
[22:16:25 +21s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-data-loading                                                   | ✓ | ⏱: 2.96s 
[22:16:25 +21s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-data-loading                                                   | ✓ | ⏱: 0.04s 
[22:16:25 +21s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-data-loading                                                   | ✓ | ⏱: 3.03s 
[22:16:25 +21s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-error-correction                                               | ✓ | ⏱: 2.80s 
[22:16:25 +21s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-error-correction                                               | ✓ | ⏱: 0.04s 
[22:16:25 +21s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-error-correction                                               | ✓ | ⏱: 2.87s 
[22:16:25 +21s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-financial-system                                               | ✓ | ⏱: 2.70s 
[22:16:25 +22s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-financial-system                                               | ✓ | ⏱: 0.05s 
[22:16:25 +22s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-financial-system                                               | ✓ | ⏱: 2.77s 
[22:16:25 +22s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-internet                                                       | ✓ | ⏱: 2.60s 
[22:16:25 +22s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-internet                                                       | ✓ | ⏱: 0.06s 
[22:16:25 +22s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-internet                                                       | ✓ | ⏱: 2.70s 
[22:16:25 +22s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/google-quantum-computer                                                     | ✓ | ⏱: 2.11s 
[22:16:25 +22s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/google-quantum-computer                                                     | ✓ | ⏱: 0.09s 
[22:16:25 +22s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/google-quantum-computer                                                     | ✓ | ⏱: 2.22s 
[22:16:26 +22s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/research?76a53c6e_page=2                                                    | ✓ | ⏱: 1.57s 
[22:16:26 +22s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/research?76a53c6e_page=2                                                    | ✓ | ⏱: 0.05s 
[22:16:26 +22s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/research?76a53c6e_page=2                                                    | ✓ | ⏱: 1.65s 
[22:16:26 +22s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/quantum-computing-software-platforms                                        | ✓ | ⏱: 2.37s 
[22:16:26 +22s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/quantum-computing-software-platforms                                        | ✓ | ⏱: 0.05s 
[22:16:26 +22s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/quantum-computing-software-platforms                                        | ✓ | ⏱: 2.45s 
[22:16:26 +23s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/quantum-computing-companies                                                 | ✓ | ⏱: 2.47s 
[22:16:26 +23s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/quantum-computing-companies                                                 | ✓ | ⏱: 0.06s 
[22:16:26 +23s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/quantum-computing-companies                                                 | ✓ | ⏱: 2.56s 
[22:16:26 +23s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/quantum-computing-simulators                                                | ✓ | ⏱: 2.64s 
[22:16:26 +23s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/quantum-computing-simulators                                                | ✓ | ⏱: 0.04s 
[22:16:26 +23s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/quantum-computing-simulators                                                | ✓ | ⏱: 2.71s 
[22:16:26 +23s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/quantum-mechanical-model                                                    | ✓ | ⏱: 2.33s 
[22:16:26 +23s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/quantum-mechanical-model                                                    | ✓ | ⏱: 0.05s 
[22:16:26 +23s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/quantum-mechanical-model                                                    | ✓ | ⏱: 2.40s 
[22:16:26 +23s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/sign-up                                                                     | ✓ | ⏱: 5.88s 
[22:16:26 +23s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/sign-up                                                                     | ✓ | ⏱: 0.00s 
[22:16:26 +23s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/sign-up                                                                     | ✗ | ⏱: 5.91s 
[22:16:26 +23s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/team                                                                        | ✓ | ⏱: 2.60s 
[22:16:27 +23s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/team                                                                        | ✓ | ⏱: 0.08s 
[22:16:27 +23s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/team                                                                        | ✓ | ⏱: 2.70s 
[22:16:27 +23s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/sign-up/                                                                    | ✓ | ⏱: 6.03s 
[22:16:27 +23s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/sign-up/                                                                    | ✓ | ⏱: 0.02s 
[22:16:27 +23s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/sign-up/                                                                    | ✗ | ⏱: 6.07s 
[22:16:27 +23s | bluequbit] [FETCH]... ↓ https://app.bluequbit.io/billing                                                                     | ✓ | ⏱: 6.10s 
[22:16:27 +23s | bluequbit] [SCRAPE].. ◆ https://app.bluequbit.io/billing                                                                     | ✓ | ⏱: 0.00s 
[22:16:27 +23s | bluequbit] [COMPLETE] ● https://app.bluequbit.io/billing                                                                     | ✗ | ⏱: 6.15s 
[22:16:27 +23s | bluequbit] Saved: crawl_output/e0f6c25505_www.bluequbit.io.json
[22:16:27 +23s | bluequbit] Duplicate skipped: https://www.bluequbit.io
[22:16:27 +23s | bluequbit] Saved: crawl_output/9bc92dc9c2_www.bluequbit.io_blog_quantum-computing-companies.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/cd3ae9397f_www.bluequbit.io_quantum-advantage-challenge.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/2012eef624_www.bluequbit.io_blog_quantum-computing-software-platforms.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/505840c08b_www.bluequbit.io_quantum-computing-algorithms.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/9dccf77e94_www.bluequbit.io_free-access.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/4a65ec9857_www.bluequbit.io_research.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/5ef5cc6984_www.bluequbit.io_blog_quantum-mechanical-model.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/ea4bdab133_www.bluequbit.io_blog_quantum-computing-simulators.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/f7974b2451_www.bluequbit.io_platform.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/0e6d0a16c0_www.bluequbit.io_pricing.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/1d575e2a73_www.bluequbit.io_blog.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/d0596311e6_www.bluequbit.io_contact-us.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/dc3a16e947_app.bluequbit.io_sdk-docs_index.html.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/c5daf26d17_app.bluequbit.io_docs.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/6624112fc6_app.bluequbit.io_hackathons_GFgHTGbTylwmMsCp.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/fc6190de29_app.bluequbit.io.json
[22:16:27 +23s | bluequbit] Duplicate skipped: https://app.bluequbit.io
[22:16:27 +23s | bluequbit] Saved: crawl_output/1efdac8d88_www.bluequbit.io_blog-author_arul-rhik-mazumder.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/20541b91e6_app.bluequbit.io_sdk-docs_LICENSE.html.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/63f472df9b_app.bluequbit.io_sdk-docs_bluequbit.sdk.html.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/fb83388240_www.bluequbit.io_blog_law-of-superposition.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/51667cce89_www.bluequbit.io_blog_quantum-annealing.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/83ab252855_www.bluequbit.io_blog_how-does-quantum-computing-work.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/04cc39a5dc_www.bluequbit.io_blog_bluequbit-ai-for-quantum-applications.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/a368616d67_www.bluequbit.io_blog_quantum-computing-and-ai.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/1d913c2532_www.bluequbit.io_blog_bluequbit-darpa.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/c44ac50c89_www.bluequbit.io_blog-author_hrant-gharibyan.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/c1d9f77fea_www.bluequbit.io_blog_quantum-computing-stocks.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/43aaaf74ae_www.bluequbit.io_blog_quantum-computing-hardware.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/ade3c8d41f_www.bluequbit.io_blog_quantum-advantage-inside-peaked-circuits.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/bf6b09755f_www.bluequbit.io_blog_google-quantum-computer.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/ae44661e1a_www.bluequbit.io_blog_quantum-computing-applications.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/33d8dc0bcf_www.bluequbit.io_blog-author_hayk-tepanyan.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/8284dc57a4_www.bluequbit.io_blog_quantum-computing-vs-classical-computing.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/6fbf0d1d76_www.bluequbit.io_blog_quantum-data-loading.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/9bc0112895_www.bluequbit.io_blog_quantum-error-correction.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/6e0a43c972_www.bluequbit.io_blog_quantum-financial-system.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/a04dae2793_www.bluequbit.io_blog_quantum-internet.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/94acde6ec8_www.bluequbit.io_google-quantum-computer.json
[22:16:27 +23s | bluequbit] Duplicate skipped: https://www.bluequbit.io/research
[22:16:27 +23s | bluequbit] Saved: crawl_output/202c419b71_www.bluequbit.io_quantum-computing-software-platforms.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/7e29f75f6c_www.bluequbit.io_quantum-computing-companies.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/e42923a906_www.bluequbit.io_quantum-computing-simulators.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/18d9ed73d5_www.bluequbit.io_quantum-mechanical-model.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/6bad340d36_app.bluequbit.io_sign-up.json
[22:16:27 +23s | bluequbit] Saved: crawl_output/2ee35e5ae9_www.bluequbit.io_team.json
[22:16:27 +23s | bluequbit] Duplicate skipped: https://app.bluequbit.io/sign-up
[22:16:27 +23s | bluequbit] Saved: crawl_output/5acb3add6c_app.bluequbit.io_billing.json

[22:16:28 +24s | bluequbit] === 1 actor extraction ===
