
========================================================================
RUN STARTED  2026-06-17 17:31:31
site_pipeline.py https://www.intel.com/content/www/us/en/research/quantum-computing.html
========================================================================

[17:31:31 +0s | intel_content_www_us_en_research_quantum_computing_html] === 0 crawl site ===
[17:31:34 +2s | intel_content_www_us_en_research_quantum_computing_html] [INIT].... → Crawl4AI 0.8.6 
[17:31:36 +5s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 2.34s 
[17:31:44 +13s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/products/overview.html?wapkw=quicklink:products              | ✓ | ⏱: 8.01s 
[17:31:45 +13s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://downloadcenter.intel.com/?wapkw=quicklink:download-center                                    | ✓ | ⏱: 8.42s 
[17:31:45 +14s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://downloadcenter.intel.com/?wapkw=quicklink:download-center                                    | ✓ | ⏱: 0.12s 
[17:31:45 +14s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://downloadcenter.intel.com/?wapkw=quicklink:download-center                                    | ✓ | ⏱: 8.58s 
[17:31:45 +14s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 8.45s 
[17:31:45 +14s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 0.19s 
[17:31:45 +14s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 8.68s 
[17:31:45 +14s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/homepage.html                                                | ✓ | ⏱: 8.90s 
[17:31:45 +14s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/homepage.html                                                | ✓ | ⏱: 0.13s 
[17:31:45 +14s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/homepage.html                                                | ✓ | ⏱: 9.07s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...neers-extend-limits-of-processor-performance.pdf  | ✓ | ⏱: 2.23s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...neers-extend-limits-of-processor-performance.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...neers-extend-limits-of-processor-performance.pdf  | ✗ | ⏱: 2.24s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...07-2020-ces-mobileyes-computer-vision-replay.pdf  | ✓ | ⏱: 2.23s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...07-2020-ces-mobileyes-computer-vision-replay.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...07-2020-ces-mobileyes-computer-vision-replay.pdf  | ✗ | ⏱: 2.24s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...vice-president-and-chief-information-officer.pdf  | ✓ | ⏱: 2.28s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...vice-president-and-chief-information-officer.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...vice-president-and-chief-information-officer.pdf  | ✗ | ⏱: 2.29s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...-offers-inside-look-at-intels-euv-technology.pdf  | ✓ | ⏱: 2.54s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...-offers-inside-look-at-intels-euv-technology.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...-offers-inside-look-at-intels-euv-technology.pdf  | ✗ | ⏱: 2.55s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...enerate-open-source-maps-for-disaster-relief.pdf  | ✓ | ⏱: 2.35s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...enerate-open-source-maps-for-disaster-relief.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...enerate-open-source-maps-for-disaster-relief.pdf  | ✗ | ⏱: 2.36s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...ing-experiential-retail-to-life-in-las-vegas.pdf  | ✓ | ⏱: 2.37s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...ing-experiential-retail-to-life-in-las-vegas.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...ing-experiential-retail-to-life-in-las-vegas.pdf  | ✗ | ⏱: 2.38s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...rence-innovation-through-intelligence-replay.pdf  | ✓ | ⏱: 2.38s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...rence-innovation-through-intelligence-replay.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...rence-innovation-through-intelligence-replay.pdf  | ✗ | ⏱: 2.38s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...s-and-intel-use-ai-for-disaster-preparedness.pdf  | ✓ | ⏱: 2.41s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...s-and-intel-use-ai-for-disaster-preparedness.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...s-and-intel-use-ai-for-disaster-preparedness.pdf  | ✗ | ⏱: 2.42s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...-tech-spanning-the-cloud-network-edge-and-pc.pdf  | ✓ | ⏱: 2.41s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...-tech-spanning-the-cloud-network-edge-and-pc.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...-tech-spanning-the-cloud-network-edge-and-pc.pdf  | ✗ | ⏱: 2.42s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...-08-mobileye-raises-the-bar-2020-ces-roundup.pdf  | ✓ | ⏱: 2.45s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...-08-mobileye-raises-the-bar-2020-ces-roundup.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...-08-mobileye-raises-the-bar-2020-ces-roundup.pdf  | ✗ | ⏱: 2.46s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...20-01-20-counting-antarctic-penguins-with-ai.pdf  | ✓ | ⏱: 2.46s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...20-01-20-counting-antarctic-penguins-with-ai.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...20-01-20-counting-antarctic-penguins-with-ai.pdf  | ✗ | ⏱: 2.46s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...ke-shape-with-new-deals-in-china-south-korea.pdf  | ✓ | ⏱: 2.46s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...ke-shape-with-new-deals-in-china-south-korea.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...ke-shape-with-new-deals-in-china-south-korea.pdf  | ✗ | ⏱: 2.47s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...rectors-elects-new-chairman-and-new-director.pdf  | ✓ | ⏱: 2.49s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...rectors-elects-new-chairman-and-new-director.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...rectors-elects-new-chairman-and-new-director.pdf  | ✗ | ⏱: 2.50s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...in-mobileyes-cameradriven-autonomous-vehicle.pdf  | ✓ | ⏱: 2.51s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...in-mobileyes-cameradriven-autonomous-vehicle.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...in-mobileyes-cameradriven-autonomous-vehicle.pdf  | ✗ | ⏱: 2.52s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...ews-mobileyes-autonomous-industry-leadership.pdf  | ✓ | ⏱: 2.53s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...ews-mobileyes-autonomous-industry-leadership.pdf  | ✓ | ⏱: 0.00s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...ews-mobileyes-autonomous-industry-leadership.pdf  | ✗ | ⏱: 2.53s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ http://www.intel.com/content/www/us/en/jobs/jobs-at-intel.html                                       | ✓ | ⏱: 2.77s 
[17:31:48 +17s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ http://www.intel.com/content/www/us/en/jobs/jobs-at-intel.html                                       | ✓ | ⏱: 0.14s 
[17:31:49 +17s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● http://www.intel.com/content/www/us/en/jobs/jobs-at-intel.html                                       | ✓ | ⏱: 2.97s 
[17:31:49 +18s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ http://jobs.intel.com/ListJobs/ByKeyword/Research Scientist/                                         | ✓ | ⏱: 3.20s 
[17:31:49 +18s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ http://jobs.intel.com/ListJobs/ByKeyword/Research Scientist/                                         | ✓ | ⏱: 0.01s 
[17:31:49 +18s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● http://jobs.intel.com/ListJobs/ByKeyword/Research Scientist/                                         | ✗ | ⏱: 3.22s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...ing-intel-realsense-id-facial-authentication.pdf  | ✓ | ⏱: 1.48s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...ing-intel-realsense-id-facial-authentication.pdf  | ✓ | ⏱: 0.00s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...ing-intel-realsense-id-facial-authentication.pdf  | ✗ | ⏱: 1.49s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...-intel-announces-four-new-processor-families.pdf  | ✓ | ⏱: 1.31s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...-intel-announces-four-new-processor-families.pdf  | ✓ | ⏱: 0.00s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...-intel-announces-four-new-processor-families.pdf  | ✗ | ⏱: 1.31s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://community.intel.com/t5/Blogs/Intel/We-Ar...et-Carrie-Chen-Intel-Taiwan-s-First/post/1607593  | ✓ | ⏱: 4.12s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://community.intel.com/t5/Blogs/Intel/We-Ar...et-Carrie-Chen-Intel-Taiwan-s-First/post/1607593  | ✓ | ⏱: 0.00s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://community.intel.com/t5/Blogs/Intel/We-Ar...et-Carrie-Chen-Intel-Taiwan-s-First/post/1607593  | ✓ | ⏱: 4.13s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://community.intel.com/t5/Blogs/Intel/We-Are-Intel/bg-p/blog-weareintel                         | ✓ | ⏱: 3.92s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://community.intel.com/t5/Blogs/Intel/We-Are-Intel/bg-p/blog-weareintel                         | ✓ | ⏱: 0.00s 
[17:31:50 +18s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://community.intel.com/t5/Blogs/Intel/We-Are-Intel/bg-p/blog-weareintel                         | ✓ | ⏱: 3.94s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...ith-the-power-of-computing-replay--live-blog.pdf  | ✓ | ⏱: 2.01s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...ith-the-power-of-computing-replay--live-blog.pdf  | ✓ | ⏱: 0.00s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...ith-the-power-of-computing-replay--live-blog.pdf  | ✗ | ⏱: 2.01s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...-production-of-10nm-xeon-scalable-processors.pdf  | ✓ | ⏱: 2.02s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...-production-of-10nm-xeon-scalable-processors.pdf  | ✓ | ⏱: 0.00s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...-production-of-10nm-xeon-scalable-processors.pdf  | ✗ | ⏱: 2.02s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...nference-amnon-shashua its-time-to-go-replay.pdf  | ✓ | ⏱: 2.02s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://download.intel.com/newsroom/archive/2025...nference-amnon-shashua its-time-to-go-replay.pdf  | ✓ | ⏱: 0.00s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://download.intel.com/newsroom/archive/2025...nference-amnon-shashua its-time-to-go-replay.pdf  | ✗ | ⏱: 2.03s 
[17:31:50 +19s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://download.intel.com/newsroom/archive/2025...vation-will-bring-avs-to-everyone-everywhere.pdf  | ✓ | ⏱: 2.04s 
