
========================================================================
RUN STARTED  2026-06-17 16:39:14
site_pipeline.py https://universalquantum.com/
========================================================================

[16:39:14 +0s | universalquantum] === 0 crawl site ===
[16:39:18 +4s | universalquantum] [INIT].... → Crawl4AI 0.8.6 
[16:39:20 +7s | universalquantum] [FETCH]... ↓ https://universalquantum.com/                                                                        | ✓ | ⏱: 2.34s 
[16:39:23 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de                                                                      | ✓ | ⏱: 0.03s 
[16:39:23 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/de                                                                      | ✓ | ⏱: 2.66s 
[16:39:23 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/technical-resources                                       | ✓ | ⏱: 2.67s 
[16:39:23 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/technical-resources                                       | ✓ | ⏱: 0.03s 
[16:39:23 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/technical-resources                                       | ✓ | ⏱: 2.73s 
[16:39:23 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schrödinger-and-eisenberg  | ✓ | ⏱: 2.75s 
[16:39:23 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schrödinger-and-eisenberg  | ✓ | ⏱: 0.02s 
[16:39:23 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schrödinger-and-eisenberg  | ✓ | ⏱: 2.79s 
[16:39:23 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog                                                 | ✓ | ⏱: 2.78s 
[16:39:23 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog                                                 | ✓ | ⏱: 0.03s 
[16:39:23 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog                                                 | ✓ | ⏱: 2.84s 
[16:39:23 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub                                                           | ✓ | ⏱: 2.84s 
[16:39:23 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub                                                           | ✓ | ⏱: 0.04s 
[16:39:23 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub                                                           | ✓ | ⏱: 2.91s 
[16:39:23 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/privacy-policy                                                          | ✓ | ⏱: 2.93s 
[16:39:24 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/privacy-policy                                                          | ✓ | ⏱: 0.06s 
[16:39:24 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/privacy-policy                                                          | ✓ | ⏱: 3.02s 
[16:39:24 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/unive...points-Freeke-Heijman-as-senior-european-advisor  | ✓ | ⏱: 3.01s 
[16:39:24 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/unive...points-Freeke-Heijman-as-senior-european-advisor  | ✓ | ⏱: 0.04s 
[16:39:24 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/unive...points-Freeke-Heijman-as-senior-european-advisor  | ✓ | ⏱: 3.08s 
[16:39:24 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/contact-us                                                              | ✓ | ⏱: 3.07s 
[16:39:24 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/contact-us                                                              | ✓ | ⏱: 0.03s 
[16:39:24 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/contact-us                                                              | ✓ | ⏱: 3.13s 
[16:39:24 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/working-here                                                            | ✓ | ⏱: 3.32s 
[16:39:24 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/working-here                                                            | ✓ | ⏱: 0.04s 
[16:39:24 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/working-here                                                            | ✓ | ⏱: 3.38s 
[16:39:24 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/who-we-are                                                              | ✓ | ⏱: 3.37s 
[16:39:24 +10s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/who-we-are                                                              | ✓ | ⏱: 0.04s 
[16:39:24 +10s | universalquantum] [COMPLETE] ● https://universalquantum.com/who-we-are                                                              | ✓ | ⏱: 3.43s 
[16:39:25 +12s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog?page=2                                          | ✓ | ⏱: 1.00s 
[16:39:25 +12s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog?page=2                                          | ✓ | ⏱: 0.06s 
[16:39:25 +12s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog?page=2                                          | ✓ | ⏱: 1.09s 
[16:39:25 +12s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog?page=3                                          | ✓ | ⏱: 1.25s 
[16:39:25 +12s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog?page=3                                          | ✓ | ⏱: 0.07s 
[16:39:25 +12s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog?page=3                                          | ✓ | ⏱: 1.36s 
[16:39:26 +12s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog?page=4                                          | ✓ | ⏱: 1.68s 
[16:39:26 +12s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog?page=4                                          | ✓ | ⏱: 0.04s 
[16:39:26 +12s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog?page=4                                          | ✓ | ⏱: 1.75s 
[16:39:26 +12s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog?page=0                                          | ✓ | ⏱: 1.74s 
[16:39:26 +12s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog?page=0                                          | ✓ | ⏱: 0.05s 
[16:39:26 +12s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog?page=0                                          | ✓ | ⏱: 1.81s 
[16:39:26 +12s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog?page=6                                          | ✓ | ⏱: 1.82s 
[16:39:26 +12s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog?page=6                                          | ✓ | ⏱: 0.04s 
[16:39:26 +12s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog?page=6                                          | ✓ | ⏱: 1.89s 
[16:39:26 +13s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/wer-wir-sind                                                         | ✓ | ⏱: 2.15s 
[16:39:26 +13s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/wer-wir-sind                                                         | ✓ | ⏱: 0.09s 
[16:39:26 +13s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/wer-wir-sind                                                         | ✓ | ⏱: 2.28s 
[16:39:26 +13s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/hier-arbeiten                                                        | ✓ | ⏱: 2.41s 
[16:39:27 +13s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/hier-arbeiten                                                        | ✓ | ⏱: 0.10s 
[16:39:27 +13s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/hier-arbeiten                                                        | ✓ | ⏱: 2.53s 
[16:39:27 +13s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog?page=7                                          | ✓ | ⏱: 1.35s 
[16:39:27 +13s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog?page=7                                          | ✓ | ⏱: 0.05s 
[16:39:27 +13s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog?page=7                                          | ✓ | ⏱: 1.43s 
[16:39:27 +13s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog?page=8                                          | ✓ | ⏱: 1.36s 
[16:39:27 +13s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog?page=8                                          | ✓ | ⏱: 0.06s 
[16:39:27 +13s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog?page=8                                          | ✓ | ⏱: 1.44s 
[16:39:27 +13s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/node/181                                                             | ✓ | ⏱: 2.80s 
[16:39:27 +13s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/node/181                                                             | ✓ | ⏱: 0.04s 
[16:39:27 +13s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/node/181                                                             | ✓ | ⏱: 2.86s 
[16:39:27 +13s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/node/180                                                             | ✓ | ⏱: 2.87s 
[16:39:27 +13s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/node/180                                                             | ✓ | ⏱: 0.04s 
[16:39:27 +13s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/node/180                                                             | ✓ | ⏱: 2.95s 
[16:39:27 +13s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/wissenszentrum                                                       | ✓ | ⏱: 2.97s 
[16:39:27 +14s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/wissenszentrum                                                       | ✓ | ⏱: 0.06s 
[16:39:27 +14s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/wissenszentrum                                                       | ✓ | ⏱: 3.06s 
[16:39:27 +14s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog                                  | ✓ | ⏱: 3.06s 
[16:39:27 +14s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog                                  | ✓ | ⏱: 0.05s 
[16:39:27 +14s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog                                  | ✓ | ⏱: 3.15s 
[16:39:27 +14s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/wissenszentrum/technische-ressourcen                                 | ✓ | ⏱: 3.15s 
[16:39:27 +14s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/wissenszentrum/technische-ressourcen                                 | ✓ | ⏱: 0.05s 
[16:39:27 +14s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/wissenszentrum/technische-ressourcen                                 | ✓ | ⏱: 3.23s 
[16:39:27 +14s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/node/13                                                              | ✓ | ⏱: 3.21s 
[16:39:27 +14s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/node/13                                                              | ✓ | ⏱: 0.04s 
[16:39:27 +14s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/node/13                                                              | ✓ | ⏱: 3.27s 
[16:39:28 +14s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026     | ✓ | ⏱: 1.44s 
[16:39:28 +14s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026     | ✓ | ⏱: 0.04s 
[16:39:28 +14s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026     | ✓ | ⏱: 1.51s 
[16:39:28 +14s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub?page=4                                                    | ✓ | ⏱: 1.01s 
[16:39:28 +14s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub?page=4                                                    | ✓ | ⏱: 0.14s 
[16:39:28 +14s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub?page=4                                                    | ✓ | ⏱: 1.18s 
[16:39:28 +14s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub?page=1                                                    | ✓ | ⏱: 1.49s 
[16:39:28 +14s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub?page=1                                                    | ✓ | ⏱: 0.04s 
[16:39:28 +14s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub?page=1                                                    | ✓ | ⏱: 1.56s 
[16:39:28 +14s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub?page=2                                                    | ✓ | ⏱: 1.23s 
[16:39:28 +14s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub?page=2                                                    | ✓ | ⏱: 0.04s 
[16:39:28 +14s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub?page=2                                                    | ✓ | ⏱: 1.30s 
[16:39:28 +14s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub?page=3                                                    | ✓ | ⏱: 1.30s 
[16:39:28 +14s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub?page=3                                                    | ✓ | ⏱: 0.04s 
[16:39:28 +14s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub?page=3                                                    | ✓ | ⏱: 1.36s 
[16:39:28 +14s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub?page=0                                                    | ✓ | ⏱: 1.69s 
[16:39:28 +15s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub?page=0                                                    | ✓ | ⏱: 0.03s 
[16:39:28 +15s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub?page=0                                                    | ✓ | ⏱: 1.74s 
[16:39:29 +15s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub?page=5                                                    | ✓ | ⏱: 1.09s 
[16:39:29 +15s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub?page=5                                                    | ✓ | ⏱: 0.06s 
[16:39:29 +15s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub?page=5                                                    | ✓ | ⏱: 1.18s 
[16:39:29 +15s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/1_16.pdf                                    | ✓ | ⏱: 1.10s 
[16:39:29 +15s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/1_16.pdf                                    | ✓ | ⏱: 0.00s 
[16:39:29 +15s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/1_16.pdf                                    | ✗ | ⏱: 1.11s 
[16:39:29 +15s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/2_11.pdf                                    | ✓ | ⏱: 0.84s 
[16:39:29 +15s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/2_11.pdf                                    | ✓ | ⏱: 0.00s 
[16:39:29 +15s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/2_11.pdf                                    | ✗ | ⏱: 0.84s 
[16:39:29 +15s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/1_14.pdf                                    | ✓ | ⏱: 1.13s 
[16:39:29 +15s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/1_14.pdf                                    | ✓ | ⏱: 0.00s 
[16:39:29 +15s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/1_14.pdf                                    | ✗ | ⏱: 1.13s 
[16:39:29 +15s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/1_17.pdf                                    | ✓ | ⏱: 1.14s 
[16:39:29 +15s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/1_17.pdf                                    | ✓ | ⏱: 0.00s 
[16:39:29 +15s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/1_17.pdf                                    | ✗ | ⏱: 1.15s 
[16:39:29 +15s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub?page=7                                                    | ✓ | ⏱: 1.18s 
[16:39:29 +16s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub?page=7                                                    | ✓ | ⏱: 0.04s 
[16:39:29 +16s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub?page=7                                                    | ✓ | ⏱: 1.25s 
[16:39:29 +16s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/3_4.pdf                                     | ✓ | ⏱: 0.64s 
[16:39:29 +16s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/3_4.pdf                                     | ✓ | ⏱: 0.00s 
[16:39:29 +16s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/3_4.pdf                                     | ✗ | ⏱: 0.65s 
[16:39:30 +16s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/3_5.pdf                                     | ✓ | ⏱: 0.84s 
[16:39:30 +16s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/3_5.pdf                                     | ✓ | ⏱: 0.00s 
[16:39:30 +16s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/3_5.pdf                                     | ✗ | ⏱: 0.84s 
[16:39:30 +17s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/2_8.pdf                                     | ✓ | ⏱: 2.08s 
[16:39:30 +17s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/2_8.pdf                                     | ✓ | ⏱: 0.00s 
[16:39:30 +17s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/2_8.pdf                                     | ✗ | ⏱: 2.08s 
[16:39:31 +17s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/2_14.pdf                                    | ✓ | ⏱: 2.15s 
[16:39:31 +17s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/2_14.pdf                                    | ✓ | ⏱: 0.00s 
[16:39:31 +17s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/2_14.pdf                                    | ✗ | ⏱: 2.16s 
[16:39:31 +17s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/2_13.pdf                                    | ✓ | ⏱: 2.17s 
[16:39:31 +17s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/2_13.pdf                                    | ✓ | ⏱: 0.00s 
[16:39:31 +17s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/2_13.pdf                                    | ✗ | ⏱: 2.18s 
[16:39:31 +17s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/2_12.pdf                                    | ✓ | ⏱: 2.19s 
[16:39:31 +17s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/2_12.pdf                                    | ✓ | ⏱: 0.00s 
[16:39:31 +17s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/2_12.pdf                                    | ✗ | ⏱: 2.19s 
[16:39:31 +17s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/2_10.pdf                                    | ✓ | ⏱: 2.83s 
[16:39:31 +17s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/2_10.pdf                                    | ✓ | ⏱: 0.00s 
[16:39:31 +17s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/2_10.pdf                                    | ✗ | ⏱: 2.84s 
[16:39:31 +18s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-02/4_3.pdf                                     | ✓ | ⏱: 2.32s 
[16:39:31 +18s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-02/4_3.pdf                                     | ✓ | ⏱: 0.00s 
[16:39:31 +18s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-02/4_3.pdf                                     | ✗ | ⏱: 2.33s 
[16:39:32 +18s | universalquantum] [FETCH]... ↓ https://universalquantum.com/sites/default/files/2025-07/Modularity Report_0.pdf                     | ✓ | ⏱: 2.56s 
[16:39:32 +18s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/sites/default/files/2025-07/Modularity Report_0.pdf                     | ✓ | ⏱: 0.00s 
[16:39:32 +18s | universalquantum] [COMPLETE] ● https://universalquantum.com/sites/default/files/2025-07/Modularity Report_0.pdf                     | ✗ | ⏱: 2.56s 
[16:39:42 +28s | universalquantum] [FETCH]... ↓ https://universalquantum.com/voices-of-uq/everything-is-quantum                                      | ✓ | ⏱: 11.79s 
[16:39:42 +28s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/voices-of-uq/everything-is-quantum                                      | ✓ | ⏱: 0.02s 
[16:39:42 +28s | universalquantum] [COMPLETE] ● https://universalquantum.com/voices-of-uq/everything-is-quantum                                      | ✓ | ⏱: 11.83s 
[16:39:44 +31s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/node/178                                                             | ✓ | ⏱: 20.32s 
[16:39:44 +31s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/node/178                                                             | ✓ | ⏱: 0.01s 
[16:39:44 +31s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/node/178                                                             | ✓ | ⏱: 20.33s 
[16:39:45 +31s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog?page=1                                          | ✓ | ⏱: 20.41s 
[16:39:45 +31s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog?page=1                                          | ✓ | ⏱: 0.01s 
[16:39:45 +31s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog?page=1                                          | ✓ | ⏱: 20.43s 
[16:39:45 +31s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/news-blog?page=5                                          | ✓ | ⏱: 20.47s 
[16:39:45 +31s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/news-blog?page=5                                          | ✓ | ⏱: 0.01s 
[16:39:45 +31s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/news-blog?page=5                                          | ✓ | ⏱: 20.50s 
[16:39:45 +31s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/was-wir-tun                                                          | ✓ | ⏱: 20.64s 
[16:39:45 +31s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/was-wir-tun                                                          | ✓ | ⏱: 0.01s 
[16:39:45 +31s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/was-wir-tun                                                          | ✓ | ⏱: 20.66s 
[16:39:45 +31s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/devel...m-processor-with-ion-trap-technology-for-dlr-qci  | ✓ | ⏱: 20.69s 
[16:39:45 +31s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/devel...m-processor-with-ion-trap-technology-for-dlr-qci  | ✓ | ⏱: 0.01s 
[16:39:45 +31s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/devel...m-processor-with-ion-trap-technology-for-dlr-qci  | ✓ | ⏱: 20.71s 
[16:39:45 +31s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/kontaktieren-sie-uns                                                 | ✓ | ⏱: 20.71s 
[16:39:45 +31s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/kontaktieren-sie-uns                                                 | ✓ | ⏱: 0.01s 
[16:39:45 +31s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/kontaktieren-sie-uns                                                 | ✓ | ⏱: 20.73s 
[16:39:45 +31s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de/node/179                                                             | ✓ | ⏱: 20.75s 
[16:39:45 +31s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/de/node/179                                                             | ✓ | ⏱: 0.01s 
[16:39:45 +31s | universalquantum] [COMPLETE] ● https://universalquantum.com/de/node/179                                                             | ✓ | ⏱: 20.77s 
[16:39:48 +34s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub?page=8                                                    | ✓ | ⏱: 20.21s 
[16:39:48 +35s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub?page=8                                                    | ✓ | ⏱: 0.01s 
[16:39:48 +35s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub?page=8                                                    | ✓ | ⏱: 20.25s 
[16:39:48 +35s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub?page=6                                                    | ✓ | ⏱: 20.45s 
[16:39:48 +35s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub?page=6                                                    | ✓ | ⏱: 0.01s 
[16:39:48 +35s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub?page=6                                                    | ✓ | ⏱: 20.47s 
[16:39:49 +35s | universalquantum] [FETCH]... ↓ https://universalquantum.com/voices-of-uq/beyond-good-intentions                                     | ✓ | ⏱: 19.65s 
