
========================================================================
RUN STARTED  2026-06-17 01:15:44
site_pipeline.py https://eleqtron.com/
========================================================================

[01:15:44 +0s | eleqtron] === 0 crawl site ===
[01:15:49 +2s | eleqtron] [INIT].... → Crawl4AI 0.8.6 
[01:15:52 +5s | eleqtron] [FETCH]... ↓ https://eleqtron.com/                                                                                | ✓ | ⏱: 2.49s 
[01:15:56 +9s | eleqtron] [COMPLETE] ● https://eleqtron.com/prof-dr-christof-wunderlich-scheidet-aus-operativem-geschaeft-aus/              | ✓ | ⏱: 3.33s 
[01:15:56 +9s | eleqtron] [FETCH]... ↓ https://eleqtron.com/eleqtron-gestaltet-mit-der-...re-zukunft-des-quantencomputings-made-ingermany/  | ✓ | ⏱: 3.89s 
[01:15:56 +9s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/eleqtron-gestaltet-mit-der-...re-zukunft-des-quantencomputings-made-ingermany/  | ✓ | ⏱: 0.02s 
[01:15:56 +9s | eleqtron] [COMPLETE] ● https://eleqtron.com/eleqtron-gestaltet-mit-der-...re-zukunft-des-quantencomputings-made-ingermany/  | ✓ | ⏱: 3.93s 
[01:15:56 +9s | eleqtron] [FETCH]... ↓ https://eleqtron.com/impressum/                                                                      | ✓ | ⏱: 4.06s 
[01:15:56 +9s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/impressum/                                                                      | ✓ | ⏱: 0.02s 
[01:15:56 +9s | eleqtron] [COMPLETE] ● https://eleqtron.com/impressum/                                                                      | ✓ | ⏱: 4.09s 
[01:15:57 +10s | eleqtron] [FETCH]... ↓ https://eleqtron.com/kontakt/                                                                        | ✓ | ⏱: 4.26s 
[01:15:57 +10s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/kontakt/                                                                        | ✓ | ⏱: 0.03s 
[01:15:57 +10s | eleqtron] [COMPLETE] ● https://eleqtron.com/kontakt/                                                                        | ✓ | ⏱: 4.30s 
[01:15:57 +10s | eleqtron] [FETCH]... ↓ https://eleqtron.com/presse/                                                                         | ✓ | ⏱: 4.80s 
[01:15:57 +10s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/presse/                                                                         | ✓ | ⏱: 0.06s 
[01:15:57 +10s | eleqtron] [COMPLETE] ● https://eleqtron.com/presse/                                                                         | ✓ | ⏱: 4.88s 
[01:15:57 +10s | eleqtron] [FETCH]... ↓ https://eleqtron.com/karriere/                                                                       | ✓ | ⏱: 4.88s 
[01:15:57 +10s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/karriere/                                                                       | ✓ | ⏱: 0.04s 
[01:15:57 +10s | eleqtron] [COMPLETE] ● https://eleqtron.com/karriere/                                                                       | ✓ | ⏱: 4.93s 
[01:15:57 +10s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/                                                                             | ✓ | ⏱: 4.96s 
[01:15:57 +10s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/                                                                             | ✓ | ⏱: 0.04s 
[01:15:57 +10s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/                                                                             | ✓ | ⏱: 5.02s 
[01:15:57 +10s | eleqtron] [FETCH]... ↓ https://eleqtron.com/events/                                                                         | ✓ | ⏱: 5.03s 
[01:15:57 +10s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/events/                                                                         | ✓ | ⏱: 0.03s 
[01:15:57 +10s | eleqtron] [COMPLETE] ● https://eleqtron.com/events/                                                                         | ✓ | ⏱: 5.08s 
[01:16:00 +13s | eleqtron] [FETCH]... ↓ https://eleqtron.com/deeptech-startup-eleqtron-b...ndeswirtschaftsminister-robert-habeck-in-siegen/  | ✓ | ⏱: 2.64s 
[01:16:00 +13s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/deeptech-startup-eleqtron-b...ndeswirtschaftsminister-robert-habeck-in-siegen/  | ✓ | ⏱: 0.02s 
[01:16:00 +13s | eleqtron] [COMPLETE] ● https://eleqtron.com/deeptech-startup-eleqtron-b...ndeswirtschaftsminister-robert-habeck-in-siegen/  | ✓ | ⏱: 2.68s 
[01:16:00 +13s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/privacy-policy/                                                              | ✓ | ⏱: 2.48s 
[01:16:00 +13s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/privacy-policy/                                                              | ✓ | ⏱: 0.03s 
[01:16:00 +13s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/privacy-policy/                                                              | ✓ | ⏱: 2.53s 
[01:16:01 +14s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/events/                                                                      | ✓ | ⏱: 3.26s 
[01:16:01 +14s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/events/                                                                      | ✓ | ⏱: 0.05s 
[01:16:01 +14s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/events/                                                                      | ✓ | ⏱: 3.32s 
[01:16:01 +14s | eleqtron] [FETCH]... ↓ https://eleqtron.com/event/spring-school-2026/                                                       | ✓ | ⏱: 3.54s 
[01:16:01 +14s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/event/spring-school-2026/                                                       | ✓ | ⏱: 0.05s 
[01:16:01 +14s | eleqtron] [COMPLETE] ● https://eleqtron.com/event/spring-school-2026/                                                       | ✓ | ⏱: 3.61s 
[01:16:01 +14s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/eleqtron-is-shaping-the-...puting-made-ingermany-with-fullstaqd-initiative/  | ✓ | ⏱: 3.74s 
[01:16:01 +14s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/eleqtron-is-shaping-the-...puting-made-ingermany-with-fullstaqd-initiative/  | ✓ | ⏱: 0.02s 
[01:16:01 +15s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/eleqtron-is-shaping-the-...puting-made-ingermany-with-fullstaqd-initiative/  | ✓ | ⏱: 3.78s 
[01:16:01 +15s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/press/                                                                       | ✓ | ⏱: 3.79s 
[01:16:01 +15s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/press/                                                                       | ✓ | ⏱: 0.06s 
[01:16:02 +15s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/press/                                                                       | ✓ | ⏱: 3.87s 
[01:16:02 +15s | eleqtron] [FETCH]... ↓ https://eleqtron.com/event/dpg-spring-meeting-2026/                                                  | ✓ | ⏱: 4.07s 
[01:16:02 +15s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/event/dpg-spring-meeting-2026/                                                  | ✓ | ⏱: 0.04s 
[01:16:02 +15s | eleqtron] [COMPLETE] ● https://eleqtron.com/event/dpg-spring-meeting-2026/                                                  | ✓ | ⏱: 4.13s 
[01:16:02 +15s | eleqtron] [FETCH]... ↓ https://eleqtron.com/eleqtron-als-technology-pioneer-2025-vom-weltwirtschaftsforum-ausgezeichnet/    | ✓ | ⏱: 4.26s 
[01:16:02 +15s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/eleqtron-als-technology-pioneer-2025-vom-weltwirtschaftsforum-ausgezeichnet/    | ✓ | ⏱: 0.03s 
[01:16:02 +15s | eleqtron] [COMPLETE] ● https://eleqtron.com/eleqtron-als-technology-pioneer-2025-vom-weltwirtschaftsforum-ausgezeichnet/    | ✓ | ⏱: 4.31s 
[01:16:02 +15s | eleqtron] [FETCH]... ↓ https://eleqtron.com/deutscher-hoffnungstrager-i...icklung-und-bereitstellung-von-quantencomputern/  | ✓ | ⏱: 4.37s 
[01:16:02 +15s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/deutscher-hoffnungstrager-i...icklung-und-bereitstellung-von-quantencomputern/  | ✓ | ⏱: 0.02s 
[01:16:02 +15s | eleqtron] [COMPLETE] ● https://eleqtron.com/deutscher-hoffnungstrager-i...icklung-und-bereitstellung-von-quantencomputern/  | ✓ | ⏱: 4.40s 
[01:16:02 +15s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/company/                                                                     | ✓ | ⏱: 4.54s 
[01:16:02 +15s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/company/                                                                     | ✓ | ⏱: 0.05s 
[01:16:02 +15s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/company/                                                                     | ✓ | ⏱: 4.61s 
[01:16:03 +16s | eleqtron] [FETCH]... ↓ https://eleqtron.com/event/vivatech-2026/                                                            | ✓ | ⏱: 4.98s 
[01:16:03 +16s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/event/vivatech-2026/                                                            | ✓ | ⏱: 0.04s 
[01:16:03 +16s | eleqtron] [COMPLETE] ● https://eleqtron.com/event/vivatech-2026/                                                            | ✓ | ⏱: 5.04s 
[01:16:03 +16s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/career/                                                                      | ✓ | ⏱: 5.08s 
[01:16:03 +16s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/career/                                                                      | ✓ | ⏱: 0.05s 
[01:16:03 +16s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/career/                                                                      | ✓ | ⏱: 5.15s 
[01:16:03 +16s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/imprint/                                                                     | ✓ | ⏱: 5.34s 
[01:16:03 +16s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/imprint/                                                                     | ✓ | ⏱: 0.03s 
[01:16:03 +16s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/imprint/                                                                     | ✓ | ⏱: 5.38s 
[01:16:03 +16s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/contact/                                                                     | ✓ | ⏱: 5.75s 
[01:16:03 +16s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/contact/                                                                     | ✓ | ⏱: 0.04s 
[01:16:03 +17s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/contact/                                                                     | ✓ | ⏱: 5.80s 
[01:16:03 +17s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/product/                                                                     | ✓ | ⏱: 5.81s 
[01:16:04 +17s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/product/                                                                     | ✓ | ⏱: 0.06s 
[01:16:04 +17s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/product/                                                                     | ✓ | ⏱: 5.88s 
[01:16:04 +17s | eleqtron] [FETCH]... ↓ https://eleqtron.com/event/use-cases-workshop-2025/                                                  | ✓ | ⏱: 6.06s 
[01:16:04 +17s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/event/use-cases-workshop-2025/                                                  | ✓ | ⏱: 0.05s 
[01:16:04 +17s | eleqtron] [COMPLETE] ● https://eleqtron.com/event/use-cases-workshop-2025/                                                  | ✓ | ⏱: 6.12s 
[01:16:04 +18s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/prof-dr-christof-wunderlich-transitions-out-of-executive-operations/         | ✓ | ⏱: 6.79s 
[01:16:04 +18s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/prof-dr-christof-wunderlich-transitions-out-of-executive-operations/         | ✓ | ⏱: 0.03s 
[01:16:04 +18s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/prof-dr-christof-wunderlich-transitions-out-of-executive-operations/         | ✓ | ⏱: 6.83s 
[01:16:05 +18s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2025/06/jan-henrik-leisse-deu.pdf                            | ✓ | ⏱: 1.62s 
[01:16:05 +18s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2025/06/jan-henrik-leisse-deu.pdf                            | ✓ | ⏱: 0.00s 
[01:16:05 +18s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2025/06/jan-henrik-leisse-deu.pdf                            | ✗ | ⏱: 1.62s 
[01:16:05 +18s | eleqtron] [FETCH]... ↓ https://eleqtron.com/en/quantum-computing-scale-...f-the-largest-series-a-funding-rounds-worldwide/  | ✓ | ⏱: 6.97s 
[01:16:05 +18s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/en/quantum-computing-scale-...f-the-largest-series-a-funding-rounds-worldwide/  | ✓ | ⏱: 0.03s 
[01:16:05 +18s | eleqtron] [COMPLETE] ● https://eleqtron.com/en/quantum-computing-scale-...f-the-largest-series-a-funding-rounds-worldwide/  | ✓ | ⏱: 7.01s 
[01:16:05 +18s | eleqtron] [FETCH]... ↓ https://eleqtron.com/event/ein-past-event/                                                           | ✓ | ⏱: 7.01s 
[01:16:05 +18s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/event/ein-past-event/                                                           | ✓ | ⏱: 0.04s 
[01:16:05 +18s | eleqtron] [COMPLETE] ● https://eleqtron.com/event/ein-past-event/                                                           | ✓ | ⏱: 7.06s 
[01:16:05 +18s | eleqtron] [FETCH]... ↓ https://eleqtron.com/event/ionhack-2026-quantum-hackathon/                                           | ✓ | ⏱: 7.23s 
[01:16:05 +18s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/event/ionhack-2026-quantum-hackathon/                                           | ✓ | ⏱: 0.04s 
[01:16:05 +18s | eleqtron] [COMPLETE] ● https://eleqtron.com/event/ionhack-2026-quantum-hackathon/                                           | ✓ | ⏱: 7.28s 
[01:16:05 +18s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2025/06/michael-johanning-deu.pdf                            | ✓ | ⏱: 1.97s 
[01:16:05 +18s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2025/06/michael-johanning-deu.pdf                            | ✓ | ⏱: 0.00s 
[01:16:05 +18s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2025/06/michael-johanning-deu.pdf                            | ✗ | ⏱: 1.98s 
[01:16:06 +19s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2025/05/20220816-sp-eleqtron-0235-scaled-1.jpg               | ✓ | ⏱: 4.10s 
[01:16:06 +19s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2025/05/20220816-sp-eleqtron-0235-scaled-1.jpg               | ✓ | ⏱: 0.00s 
[01:16:06 +19s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2025/05/20220816-sp-eleqtron-0235-scaled-1.jpg               | ✗ | ⏱: 4.11s 
[01:16:06 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2025/07/eleQtron-pm-20250703-wunderlich-de.pdf               | ✓ | ⏱: 2.88s 
[01:16:06 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2025/07/eleQtron-pm-20250703-wunderlich-de.pdf               | ✓ | ⏱: 0.00s 
[01:16:06 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2025/07/eleQtron-pm-20250703-wunderlich-de.pdf               | ✗ | ⏱: 2.88s 
[01:16:06 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2025/05/20220816-sp-eleqtron-0328-scaled-1.jpg               | ✓ | ⏱: 3.79s 
[01:16:06 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2025/05/20220816-sp-eleqtron-0328-scaled-1.jpg               | ✓ | ⏱: 0.00s 
[01:16:06 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2025/05/20220816-sp-eleqtron-0328-scaled-1.jpg               | ✗ | ⏱: 3.80s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2025/12/eleQtron-Pressemitteilung-FullstaQD-2512-DE.pdf      | ✓ | ⏱: 2.99s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2025/12/eleQtron-Pressemitteilung-FullstaQD-2512-DE.pdf      | ✓ | ⏱: 0.00s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2025/12/eleQtron-Pressemitteilung-FullstaQD-2512-DE.pdf      | ✗ | ⏱: 3.00s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://staging.eleqtron.com/wp-content/uploads/2024/03/eleQtron-press-factsheet-240321-de.pdf       | ✓ | ⏱: 1.63s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://staging.eleqtron.com/wp-content/uploads/2024/03/eleQtron-press-factsheet-240321-de.pdf       | ✓ | ⏱: 0.00s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://staging.eleqtron.com/wp-content/uploads/2024/03/eleQtron-press-factsheet-240321-de.pdf       | ✗ | ⏱: 1.63s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/forschungszentrum-juelich-u...eln-modularen-quanten-supercomputer-made-in-nrw/  | ✓ | ⏱: 6.48s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/forschungszentrum-juelich-u...eln-modularen-quanten-supercomputer-made-in-nrw/  | ✓ | ⏱: 0.03s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/forschungszentrum-juelich-u...eln-modularen-quanten-supercomputer-made-in-nrw/  | ✓ | ⏱: 6.53s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/jobs/hf-high-frequency-lab-engineer-m-w-d/                                      | ✓ | ⏱: 5.67s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/jobs/hf-high-frequency-lab-engineer-m-w-d/                                      | ✓ | ⏱: 0.03s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/jobs/hf-high-frequency-lab-engineer-m-w-d/                                      | ✓ | ⏱: 5.72s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d/                                    | ✓ | ⏱: 5.18s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d/                                    | ✓ | ⏱: 0.05s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d/                                    | ✓ | ⏱: 5.25s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/jobs/hr-operations-manager-m-w-d/                                               | ✓ | ⏱: 5.55s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/jobs/hr-operations-manager-m-w-d/                                               | ✓ | ⏱: 0.04s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/jobs/hr-operations-manager-m-w-d/                                               | ✓ | ⏱: 5.60s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/jobs/fpga-engineer-quantum-computing-m-w-d/                                     | ✓ | ⏱: 6.44s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/jobs/fpga-engineer-quantum-computing-m-w-d/                                     | ✓ | ⏱: 0.04s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/jobs/fpga-engineer-quantum-computing-m-w-d/                                     | ✓ | ⏱: 6.51s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2026/05/...4_Pressemitteilung_eleQtron_SeriesA_DE_final.pdf  | ✓ | ⏱: 2.16s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2026/05/...4_Pressemitteilung_eleQtron_SeriesA_DE_final.pdf  | ✓ | ⏱: 0.00s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2026/05/...4_Pressemitteilung_eleQtron_SeriesA_DE_final.pdf  | ✗ | ⏱: 2.17s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/jobs/intern-quantum-applications-m-w-d/                                         | ✓ | ⏱: 5.49s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/jobs/intern-quantum-applications-m-w-d/                                         | ✓ | ⏱: 0.03s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/jobs/intern-quantum-applications-m-w-d/                                         | ✓ | ⏱: 5.54s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d/                           | ✓ | ⏱: 5.14s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d/                           | ✓ | ⏱: 0.04s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d/                           | ✓ | ⏱: 5.19s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/nxp-eleqtron-und-parityqc-z...trator-fuer-die-dlr-quantencomputing-initiative/  | ✓ | ⏱: 4.97s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/nxp-eleqtron-und-parityqc-z...trator-fuer-die-dlr-quantencomputing-initiative/  | ✓ | ⏱: 0.03s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/nxp-eleqtron-und-parityqc-z...trator-fuer-die-dlr-quantencomputing-initiative/  | ✓ | ⏱: 5.02s 
[01:16:07 +20s | eleqtron] [FETCH]... ↓ https://eleqtron.com/jobs/senior-optics-and-laser-engineer-m-w-d/                                    | ✓ | ⏱: 5.54s 
[01:16:07 +20s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/jobs/senior-optics-and-laser-engineer-m-w-d/                                    | ✓ | ⏱: 0.03s 
[01:16:07 +20s | eleqtron] [COMPLETE] ● https://eleqtron.com/jobs/senior-optics-and-laser-engineer-m-w-d/                                    | ✓ | ⏱: 5.58s 
[01:16:08 +21s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Jan-Leisse-CEO-20250821.jpg           | ✓ | ⏱: 3.94s 
[01:16:08 +21s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Jan-Leisse-CEO-20250821.jpg           | ✓ | ⏱: 0.00s 
[01:16:08 +21s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Jan-Leisse-CEO-20250821.jpg           | ✗ | ⏱: 3.94s 
[01:16:08 +21s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Michael-Johanning-CTO-20250821.jpg    | ✓ | ⏱: 3.45s 
[01:16:08 +21s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Michael-Johanning-CTO-20250821.jpg    | ✓ | ⏱: 0.00s 
[01:16:08 +21s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Michael-Johanning-CTO-20250821.jpg    | ✗ | ⏱: 3.45s 
[01:16:09 +22s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2026/04/Design-ohne-Titel-11-scaled.jpg                      | ✓ | ⏱: 3.97s 
[01:16:09 +22s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2026/04/Design-ohne-Titel-11-scaled.jpg                      | ✓ | ⏱: 0.00s 
[01:16:09 +22s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2026/04/Design-ohne-Titel-11-scaled.jpg                      | ✗ | ⏱: 3.98s 
[01:16:11 +24s | eleqtron] [FETCH]... ↓ https://eleqtron.com/wp-content/uploads/2026/05/20260430_Pressemitteilung_eleQtron_SeriesA-3.jpg     | ✓ | ⏱: 5.73s 
[01:16:11 +24s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/wp-content/uploads/2026/05/20260430_Pressemitteilung_eleQtron_SeriesA-3.jpg     | ✓ | ⏱: 0.00s 
[01:16:11 +24s | eleqtron] [COMPLETE] ● https://eleqtron.com/wp-content/uploads/2026/05/20260430_Pressemitteilung_eleQtron_SeriesA-3.jpg     | ✗ | ⏱: 5.73s 
[01:16:11 +24s | eleqtron] Saved: crawl_output/c61ed0dd43_eleqtron.com.json
[01:16:11 +24s | eleqtron] Duplicate skipped: https://eleqtron.com
[01:16:11 +24s | eleqtron] Saved: crawl_output/9f1c31a63a_eleqtron.com_quantencomputing-scale-up-eleqtron-schliesst-eine-der-weltweit-groessten-series-a-finanzierungen-ueber-57-mio-euro-ab.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/667d6a6411_eleqtron.com_datenschutzerklaerung.json
