
========================================================================
RUN STARTED  2026-06-17 04:42:06
site_pipeline.py https://www.proteinqure.com/
========================================================================

[04:42:06 +0s | proteinqure] === 0 crawl site ===
[04:42:08 +2s | proteinqure] [INIT].... → Crawl4AI 0.8.6 
[04:42:09 +3s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/                                                                         | ✓ | ⏱: 1.62s 
[04:42:12 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/pipeline/                                                                | ✓ | ⏱: 2.45s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/pipeline/                                                                | ✓ | ⏱: 0.03s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/pipeline/                                                                | ✓ | ⏱: 2.49s 
[04:42:12 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/partnering/                                                              | ✓ | ⏱: 2.54s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/partnering/                                                              | ✓ | ⏱: 0.02s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/partnering/                                                              | ✓ | ⏱: 2.58s 
[04:42:12 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/team/                                                                    | ✓ | ⏱: 2.58s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/team/                                                                    | ✓ | ⏱: 0.05s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/team/                                                                    | ✓ | ⏱: 2.64s 
[04:42:12 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/careers/                                                                 | ✓ | ⏱: 2.64s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/careers/                                                                 | ✓ | ⏱: 0.01s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/careers/                                                                 | ✓ | ⏱: 2.66s 
[04:42:13 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/science/                                                                 | ✓ | ⏱: 2.69s 
[04:42:13 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/science/                                                                 | ✓ | ⏱: 0.04s 
[04:42:13 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/science/                                                                 | ✓ | ⏱: 2.74s 
[04:42:13 +7s | proteinqure] [FETCH]... ↓ https://proteinqure.com/company                                                                      | ✓ | ⏱: 3.45s 
[04:42:13 +7s | proteinqure] [SCRAPE].. ◆ https://proteinqure.com/company                                                                      | ✓ | ⏱: 0.02s 
[04:42:13 +7s | proteinqure] [COMPLETE] ● https://proteinqure.com/company                                                                      | ✓ | ⏱: 3.48s 
[04:42:13 +7s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/contact/                                                                 | ✓ | ⏱: 3.46s 
[04:42:13 +7s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/contact/                                                                 | ✓ | ⏱: 0.01s 
[04:42:13 +7s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/contact/                                                                 | ✓ | ⏱: 3.48s 
[04:42:13 +7s | proteinqure] [FETCH]... ↓ https://proteinqure.com/pipeline                                                                     | ✓ | ⏱: 3.55s 
[04:42:13 +7s | proteinqure] [SCRAPE].. ◆ https://proteinqure.com/pipeline                                                                     | ✓ | ⏱: 0.03s 
[04:42:13 +7s | proteinqure] [COMPLETE] ● https://proteinqure.com/pipeline                                                                     | ✓ | ⏱: 3.58s 
[04:42:15 +9s | proteinqure] [FETCH]... ↓ https://proteinqure.com/careers                                                                      | ✓ | ⏱: 5.25s 
[04:42:15 +9s | proteinqure] [SCRAPE].. ◆ https://proteinqure.com/careers                                                                      | ✓ | ⏱: 0.01s 
[04:42:15 +9s | proteinqure] [COMPLETE] ● https://proteinqure.com/careers                                                                      | ✓ | ⏱: 5.27s 
[04:42:15 +9s | proteinqure] [FETCH]... ↓ https://proteinqure.com/pipeline/                                                                    | ✓ | ⏱: 5.29s 
[04:42:15 +9s | proteinqure] [SCRAPE].. ◆ https://proteinqure.com/pipeline/                                                                    | ✓ | ⏱: 0.02s 
[04:42:15 +9s | proteinqure] [COMPLETE] ● https://proteinqure.com/pipeline/                                                                    | ✓ | ⏱: 5.32s 
[04:42:15 +9s | proteinqure] [FETCH]... ↓ http://proteinqure.com/                                                                              | ✓ | ⏱: 5.58s 
[04:42:15 +9s | proteinqure] [SCRAPE].. ◆ http://proteinqure.com/                                                                              | ✓ | ⏱: 0.02s 
[04:42:15 +9s | proteinqure] [COMPLETE] ● http://proteinqure.com/                                                                              | ✓ | ⏱: 5.61s 
[04:42:16 +10s | proteinqure] [FETCH]... ↓ https://proteinqure.com/science/                                                                     | ✓ | ⏱: 6.65s 
[04:42:16 +10s | proteinqure] [SCRAPE].. ◆ https://proteinqure.com/science/                                                                     | ✓ | ⏱: 0.02s 
[04:42:16 +10s | proteinqure] [COMPLETE] ● https://proteinqure.com/science/                                                                     | ✓ | ⏱: 6.68s 
[04:42:20 +14s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/department/platform-software-engineering/                                | ✓ | ⏱: 3.43s 
[04:42:20 +14s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/department/platform-software-engineering/                                | ✓ | ⏱: 0.01s 
[04:42:20 +14s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/department/platform-software-engineering/                                | ✓ | ⏱: 3.46s 
[04:42:20 +14s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/department/clinical/                                                     | ✓ | ⏱: 3.50s 
[04:42:20 +14s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/department/clinical/                                                     | ✓ | ⏱: 0.01s 
[04:42:20 +14s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/department/clinical/                                                     | ✓ | ⏱: 3.52s 
[04:42:20 +14s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/category/press-releases/                                                 | ✓ | ⏱: 3.53s 
[04:42:20 +14s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/category/press-releases/                                                 | ✓ | ⏱: 0.01s 
[04:42:20 +14s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/category/press-releases/                                                 | ✓ | ⏱: 3.55s 
[04:42:20 +14s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/proteinqure-receives...-to-advance-sirna-therapeutics-for-glioblastoma/  | ✓ | ⏱: 3.58s 
[04:42:20 +14s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/proteinqure-receives...-to-advance-sirna-therapeutics-for-glioblastoma/  | ✓ | ⏱: 0.02s 
[04:42:20 +14s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/proteinqure-receives...-to-advance-sirna-therapeutics-for-glioblastoma/  | ✓ | ⏱: 3.61s 
[04:42:20 +14s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/department/bio-chem/                                                     | ✓ | ⏱: 3.64s 
[04:42:20 +14s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/department/bio-chem/                                                     | ✓ | ⏱: 0.01s 
[04:42:20 +14s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/department/bio-chem/                                                     | ✓ | ⏱: 3.66s 
[04:42:21 +14s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/category/articles/                                                       | ✓ | ⏱: 3.78s 
[04:42:21 +14s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/category/articles/                                                       | ✓ | ⏱: 0.02s 
[04:42:21 +14s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/category/articles/                                                       | ✓ | ⏱: 3.82s 
[04:42:21 +14s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/department/view-all/                                                     | ✓ | ⏱: 3.86s 
[04:42:21 +14s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/department/view-all/                                                     | ✓ | ⏱: 0.01s 
[04:42:21 +14s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/department/view-all/                                                     | ✓ | ⏱: 3.89s 
[04:42:21 +14s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/department/operations/                                                   | ✓ | ⏱: 3.89s 
[04:42:21 +14s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/department/operations/                                                   | ✓ | ⏱: 0.01s 
[04:42:21 +14s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/department/operations/                                                   | ✓ | ⏱: 3.91s 
[04:42:21 +14s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/proteinqure-raises-s...signed-peptide-therapeutic-into-clinical-trials/  | ✓ | ⏱: 4.03s 
[04:42:21 +14s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/proteinqure-raises-s...signed-peptide-therapeutic-into-clinical-trials/  | ✓ | ⏱: 0.01s 
[04:42:21 +14s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/proteinqure-raises-s...signed-peptide-therapeutic-into-clinical-trials/  | ✓ | ⏱: 4.05s 
[04:42:21 +15s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/department/machine-learning/                                             | ✓ | ⏱: 4.20s 
[04:42:21 +15s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/department/machine-learning/                                             | ✓ | ⏱: 0.01s 
[04:42:21 +15s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/department/machine-learning/                                             | ✓ | ⏱: 4.22s 
[04:42:21 +15s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/proteinqure-announce...-negative-breast-cancer-to-be-presented-at-aacr/  | ✓ | ⏱: 4.23s 
[04:42:21 +15s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/proteinqure-announce...-negative-breast-cancer-to-be-presented-at-aacr/  | ✓ | ⏱: 0.01s 
[04:42:21 +15s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/proteinqure-announce...-negative-breast-cancer-to-be-presented-at-aacr/  | ✓ | ⏱: 4.25s 
[04:42:21 +15s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/department/founders/                                                     | ✓ | ⏱: 4.25s 
[04:42:21 +15s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/department/founders/                                                     | ✓ | ⏱: 0.01s 
[04:42:21 +15s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/department/founders/                                                     | ✓ | ⏱: 4.27s 
[04:42:21 +15s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/peptide-binders-for-all/                                                 | ✓ | ⏱: 4.28s 
[04:42:21 +15s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/peptide-binders-for-all/                                                 | ✓ | ⏱: 0.01s 
[04:42:21 +15s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/peptide-binders-for-all/                                                 | ✓ | ⏱: 4.30s 
[04:42:21 +15s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens/                 | ✓ | ⏱: 4.31s 
[04:42:21 +15s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens/                 | ✓ | ⏱: 0.01s 
[04:42:21 +15s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens/                 | ✓ | ⏱: 4.33s 
[04:42:21 +15s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/proteinqure-dare-to-deliver/                                             | ✓ | ⏱: 4.33s 
[04:42:21 +15s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/proteinqure-dare-to-deliver/                                             | ✓ | ⏱: 0.01s 
[04:42:21 +15s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/proteinqure-dare-to-deliver/                                             | ✓ | ⏱: 4.35s 
[04:42:22 +16s | proteinqure] [FETCH]... ↓ https://proteinqure.com/                                                                             | ✓ | ⏱: 5.60s 
[04:42:22 +16s | proteinqure] [SCRAPE].. ◆ https://proteinqure.com/                                                                             | ✓ | ⏱: 0.02s 
[04:42:22 +16s | proteinqure] [COMPLETE] ● https://proteinqure.com/                                                                             | ✓ | ⏱: 5.64s 
[04:42:22 +16s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/wp-content/uploads/2025/05/ProteinQure_SABCS_2024.pdf                    | ✓ | ⏱: 1.58s 
[04:42:22 +16s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/wp-content/uploads/2025/05/ProteinQure_SABCS_2024.pdf                    | ✓ | ⏱: 0.00s 
[04:42:22 +16s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/wp-content/uploads/2025/05/ProteinQure_SABCS_2024.pdf                    | ✗ | ⏱: 1.59s 
[04:42:22 +16s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/wp-content/uploads/2025/05/ProteinQure_AACR_2024.pdf                     | ✓ | ⏱: 1.57s 
[04:42:22 +16s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/wp-content/uploads/2025/05/ProteinQure_AACR_2024.pdf                     | ✓ | ⏱: 0.00s 
[04:42:22 +16s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/wp-content/uploads/2025/05/ProteinQure_AACR_2024.pdf                     | ✗ | ⏱: 1.58s 
[04:42:23 +16s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/category/view-all/                                                       | ✓ | ⏱: 5.87s 
[04:42:23 +16s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/category/view-all/                                                       | ✓ | ⏱: 0.01s 
[04:42:23 +16s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/category/view-all/                                                       | ✓ | ⏱: 5.89s 
[04:42:23 +16s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/category/blog-posts/                                                     | ✓ | ⏱: 5.88s 
[04:42:23 +16s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/category/blog-posts/                                                     | ✓ | ⏱: 0.01s 
[04:42:23 +16s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/category/blog-posts/                                                     | ✓ | ⏱: 5.90s 
[04:42:24 +18s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/proteinqure-strength...translational-and-clinical-development-programs/  | ✓ | ⏱: 3.78s 
[04:42:24 +18s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/proteinqure-strength...translational-and-clinical-development-programs/  | ✓ | ⏱: 0.01s 
[04:42:24 +18s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/proteinqure-strength...translational-and-clinical-development-programs/  | ✓ | ⏱: 3.81s 
[04:42:24 +18s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/proteinqure-receives...s-and-canada-granted-fda-fast-track-designation/  | ✓ | ⏱: 4.07s 
[04:42:24 +18s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/proteinqure-receives...s-and-canada-granted-fda-fast-track-designation/  | ✓ | ⏱: 0.01s 
[04:42:24 +18s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/proteinqure-receives...s-and-canada-granted-fda-fast-track-designation/  | ✓ | ⏱: 4.09s 
[04:42:24 +18s | proteinqure] [FETCH]... ↓ https://proteinqure.com/news                                                                         | ✓ | ⏱: 7.59s 
[04:42:24 +18s | proteinqure] [SCRAPE].. ◆ https://proteinqure.com/news                                                                         | ✓ | ⏱: 0.03s 
[04:42:24 +18s | proteinqure] [COMPLETE] ● https://proteinqure.com/news                                                                         | ✓ | ⏱: 7.63s 
[04:42:24 +18s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/proteinqure-reports-...-peptide-sirna-conjugates-in-non-human-primates/  | ✓ | ⏱: 3.94s 
[04:42:24 +18s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/proteinqure-reports-...-peptide-sirna-conjugates-in-non-human-primates/  | ✓ | ⏱: 0.01s 
[04:42:24 +18s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/proteinqure-reports-...-peptide-sirna-conjugates-in-non-human-primates/  | ✓ | ⏱: 3.96s 
[04:42:24 +18s | proteinqure] [FETCH]... ↓ http://www.proteinqure.com/                                                                          | ✓ | ⏱: 7.87s 
[04:42:24 +18s | proteinqure] [SCRAPE].. ◆ http://www.proteinqure.com/                                                                          | ✓ | ⏱: 0.02s 
[04:42:24 +18s | proteinqure] [COMPLETE] ● http://www.proteinqure.com/                                                                          | ✓ | ⏱: 7.90s 
[04:42:25 +18s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/science                                                                  | ✓ | ⏱: 4.21s 
[04:42:25 +18s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/science                                                                  | ✓ | ⏱: 0.03s 
[04:42:25 +18s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/science                                                                  | ✓ | ⏱: 4.25s 
[04:42:25 +18s | proteinqure] Saved: crawl_output/cbd8e1fa40_www.proteinqure.com.json
[04:42:25 +18s | proteinqure] Duplicate skipped: https://www.proteinqure.com
[04:42:25 +18s | proteinqure] Saved: crawl_output/60f948c9be_www.proteinqure.com_proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/3765605426_www.proteinqure.com_proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery.json
[04:42:25 +18s | proteinqure] Skipped: https://www.proteinqure.com/privacy-policy
[04:42:25 +18s | proteinqure] Saved: crawl_output/8ca818281e_www.proteinqure.com_company.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/decb48c707_www.proteinqure.com_news.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/35902325eb_www.proteinqure.com_pipeline.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/6af99bd133_www.proteinqure.com_partnering.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/04e5c00719_www.proteinqure.com_team.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/7ee475d483_www.proteinqure.com_careers.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/25784d5b2b_www.proteinqure.com_science.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/b165db8ed0_proteinqure.com_company.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/b275195651_www.proteinqure.com_contact.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/55902657bd_proteinqure.com_pipeline.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/9f29230112_proteinqure.com_careers.json
[04:42:25 +18s | proteinqure] Duplicate skipped: https://proteinqure.com/pipeline
[04:42:25 +18s | proteinqure] Saved: crawl_output/399d8bd328_proteinqure.com.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/f3352df062_proteinqure.com_science.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/94d0280cd3_www.proteinqure.com_department_platform-software-engineering.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/8cb33ca8ae_www.proteinqure.com_department_clinical.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/278cd584a5_www.proteinqure.com_category_press-releases.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/32937aa1af_www.proteinqure.com_proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/81c8c2d51a_www.proteinqure.com_department_bio-chem.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/5afcd770e9_www.proteinqure.com_category_articles.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/6c81180ff6_www.proteinqure.com_department_view-all.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/85caf50323_www.proteinqure.com_department_operations.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/83c34f7c5e_www.proteinqure.com_proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/dba4020f1b_www.proteinqure.com_department_machine-learning.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/6b2718882e_www.proteinqure.com_proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/778ab6f19c_www.proteinqure.com_department_founders.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/d7e81f4e99_www.proteinqure.com_peptide-binders-for-all.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/c4bb35b2d2_www.proteinqure.com_differences-in-breast-cancer-through-a-biochemical-lens.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/fe7ea4c838_www.proteinqure.com_proteinqure-dare-to-deliver.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/903b583e4f_proteinqure.com.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/89b847339e_www.proteinqure.com_wp-content_uploads_2025_05_ProteinQure_SABCS_2024.pdf.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/6a8071cbb1_www.proteinqure.com_wp-content_uploads_2025_05_ProteinQure_AACR_2024.pdf.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/fca5b2c88b_www.proteinqure.com_category_view-all.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/ba4319277c_www.proteinqure.com_category_blog-posts.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/dbe963fdcf_www.proteinqure.com_proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/3e55d2afc3_www.proteinqure.com_proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/d3f43b11ac_proteinqure.com_news.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/0f1ac25fa3_www.proteinqure.com_proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates.json
[04:42:25 +18s | proteinqure] Saved: crawl_output/4b0d28ca82_www.proteinqure.com.json
[04:42:25 +18s | proteinqure] Duplicate skipped: https://www.proteinqure.com/science

[04:42:25 +19s | proteinqure] === 1 actor extraction ===
[04:42:25 +19s | proteinqure] Reading page (1/41): https://www.proteinqure.com/team
[04:42:25 +19s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 1/15
[04:42:32 +25s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 2/15
[04:42:42 +33s | proteinqure] Repaired malformed JSON.
[04:42:42 +33s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 3/15
[04:42:47 +39s | proteinqure] Repaired malformed JSON.
[04:42:47 +39s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 4/15
[04:42:54 +45s | proteinqure] Repaired malformed JSON.
[04:42:54 +45s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 5/15
[04:43:00 +52s | proteinqure] Repaired malformed JSON.
[04:43:00 +52s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 6/15
[04:43:07 +58s | proteinqure] Repaired malformed JSON.
[04:43:07 +58s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 7/15
[04:43:18 +1m 7s | proteinqure] Repaired malformed JSON.
[04:43:18 +1m 7s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 8/15
[04:43:25 +1m 14s | proteinqure] Repaired malformed JSON.
[04:43:25 +1m 14s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 9/15
[04:43:33 +1m 23s | proteinqure] Repaired malformed JSON.
[04:43:33 +1m 23s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 10/15
[04:43:39 +1m 28s | proteinqure] Repaired malformed JSON.
[04:43:39 +1m 28s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 11/15
[04:43:46 +1m 34s | proteinqure] Repaired malformed JSON.
[04:43:46 +1m 34s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 12/15
[04:43:53 +1m 41s | proteinqure] Repaired malformed JSON.
[04:43:53 +1m 41s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 13/15
[04:43:59 +1m 47s | proteinqure] Repaired malformed JSON.
[04:43:59 +1m 47s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 14/15
[04:44:05 +1m 53s | proteinqure] Repaired malformed JSON.
