
========================================================================
RUN STARTED  2026-07-04 23:29:33
site_pipeline.py https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers/
========================================================================

[23:29:33 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 0 crawl site ===
[23:31:56 +2m 23s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 14/37
[23:32:02 +2m 30s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:32:02 +2m 30s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 15/37
[23:32:11 +2m 39s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:32:11 +2m 39s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 16/37
[23:32:21 +2m 49s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:32:21 +2m 49s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 17/37
[23:32:30 +2m 58s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:32:30 +2m 58s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 18/37
[23:32:41 +3m 9s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:32:41 +3m 9s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 19/37
[23:33:07 +3m 35s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:33:07 +3m 35s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 20/37
[23:33:16 +3m 43s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:33:16 +3m 43s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 21/37
[23:33:28 +3m 56s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:33:28 +3m 56s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 22/37
[23:33:54 +4m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:33:54 +4m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 23/37
[23:34:03 +4m 31s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:34:03 +4m 31s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 24/37
[23:34:14 +4m 42s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:34:14 +4m 42s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 25/37
[23:34:22 +4m 50s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:34:22 +4m 50s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 26/37
[23:34:31 +4m 59s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:34:31 +4m 59s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 27/37
[23:34:39 +5m 7s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:34:39 +5m 7s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 28/37
[23:34:50 +5m 17s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:34:50 +5m 17s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 29/37
[23:34:59 +5m 26s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:34:59 +5m 26s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 30/37
[23:35:05 +5m 33s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:35:05 +5m 33s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 31/37
[23:35:15 +5m 42s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:35:15 +5m 42s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 32/37
[23:35:20 +5m 48s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:35:20 +5m 48s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 33/37
[23:35:28 +5m 56s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:35:28 +5m 56s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 34/37
[23:35:36 +6m 3s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:35:36 +6m 3s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 35/37
[23:35:44 +6m 12s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:35:44 +6m 12s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 36/37
[23:35:52 +6m 20s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:35:52 +6m 20s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 37/37
[23:35:59 +6m 26s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:35:59 +6m 26s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Saved 1_actor_results.json with 73 extracted records

[23:35:59 +6m 26s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 2 clean actors ===
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Traceback (most recent call last):
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2]   File "/home/lv/IDP/idpdeeptech/pipeline/clean_actors.py", line 429, in <module>
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2]     main()
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2]   File "/home/lv/IDP/idpdeeptech/pipeline/clean_actors.py", line 416, in main
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2]     records = json.loads(INPUT_JSON.read_text(encoding="utf-8"))
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2]   File "/usr/lib/python3.10/pathlib.py", line 1134, in read_text
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2]     with self.open(mode='r', encoding=encoding, errors=errors) as f:
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2]   File "/usr/lib/python3.10/pathlib.py", line 1119, in open
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2]     return self._accessor.open(self, mode, buffering, encoding, errors,
[23:35:59 +6m 27s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] FileNotFoundError: [Errno 2] No such file or directory: 'site_outputs/psiquantum_com/1_actor_results_pdf.json'

========================================================================
RUN FINISHED 2026-07-04 23:35:59  (FAILED)
Started:     2026-07-04 23:29:33
Elapsed:     6m 27s
========================================================================

========================================================================
RUN STARTED  2026-07-05 00:11:12
site_pipeline.py https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers/
========================================================================

[00:11:12 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 0 crawl site (skipped via auto (actor data already exists; pass --force to re-crawl), reusing /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2/crawl_output) ===

[00:11:12 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 1 actor extraction ===
[00:11:12 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Auto-resume: 1 (url, ordinal) pairs already done, skipping them.
[00:11:12 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] All 1 pages/URLs already processed (per 1_actor_results.progress.json). Nothing to do.
[00:11:12 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Delete the progress sidecar to force a full re-run, or pass --start-page N.

[00:11:12 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 2 clean actors ===
[00:11:12 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Loaded 73 extracted records
[00:11:12 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Saved 2_actor_nodes.json with 8 canonical actor nodes

[00:11:12 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 3 interaction extraction ===
[00:11:12 +1s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 7/37
[00:11:18 +6s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 11/37
[00:11:41 +30s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 12/37
[00:11:48 +37s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 13/37
[00:11:55 +44s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 14/37
[00:12:02 +51s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 15/37
[00:12:13 +1m 3s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 16/37
[00:12:15 +1m 4s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 18/37
[00:12:17 +1m 7s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 19/37
