
========================================================================
RUN STARTED  2026-07-04 23:09:38
site_pipeline.py https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event/
========================================================================

[23:09:38 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 0 crawl site ===
[23:12:59 +3m 22s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 16/38
[23:13:07 +3m 29s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:13:07 +3m 29s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 17/38
[23:13:15 +3m 38s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:13:15 +3m 38s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 18/38
[23:13:23 +3m 46s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:13:23 +3m 46s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 19/38
[23:13:32 +3m 55s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:13:32 +3m 55s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 20/38
[23:13:56 +4m 18s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:13:56 +4m 18s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 21/38
[23:14:11 +4m 33s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:14:11 +4m 33s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 22/38
[23:14:19 +4m 41s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:14:19 +4m 41s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 23/38
[23:14:27 +4m 49s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:14:27 +4m 49s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 24/38
[23:14:36 +4m 59s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:14:36 +4m 59s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 25/38
[23:14:42 +5m 5s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 26/38
[23:14:44 +5m 7s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 27/38
[23:14:51 +5m 14s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:14:51 +5m 14s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 28/38
[23:14:56 +5m 19s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 29/38
[23:15:04 +5m 26s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:15:04 +5m 26s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 30/38
[23:15:11 +5m 33s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:15:11 +5m 33s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 31/38
[23:15:18 +5m 40s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:15:18 +5m 40s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 32/38
[23:15:24 +5m 47s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:15:24 +5m 47s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 33/38
[23:15:34 +5m 57s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:15:34 +5m 57s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 34/38
[23:15:43 +6m 6s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:15:43 +6m 6s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 35/38
[23:15:53 +6m 15s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:15:53 +6m 15s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 36/38
[23:16:02 +6m 25s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:16:02 +6m 25s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 37/38
[23:16:11 +6m 33s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:16:11 +6m 33s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 38/38
[23:16:19 +6m 41s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:16:19 +6m 41s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Saved 1_actor_results.json with 70 extracted records

[23:16:19 +6m 41s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 2 clean actors ===
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Traceback (most recent call last):
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951]   File "/home/lv/IDP/idpdeeptech/pipeline/clean_actors.py", line 429, in <module>
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951]     main()
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951]   File "/home/lv/IDP/idpdeeptech/pipeline/clean_actors.py", line 416, in main
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951]     records = json.loads(INPUT_JSON.read_text(encoding="utf-8"))
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951]   File "/usr/lib/python3.10/pathlib.py", line 1134, in read_text
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951]     with self.open(mode='r', encoding=encoding, errors=errors) as f:
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951]   File "/usr/lib/python3.10/pathlib.py", line 1119, in open
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951]     return self._accessor.open(self, mode, buffering, encoding, errors,
[23:16:19 +6m 42s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] FileNotFoundError: [Errno 2] No such file or directory: 'site_outputs/psiquantum_com/1_actor_results_pdf.json'

========================================================================
RUN FINISHED 2026-07-04 23:16:19  (FAILED)
Started:     2026-07-04 23:09:38
Elapsed:     6m 42s
========================================================================

========================================================================
RUN STARTED  2026-07-05 00:04:33
site_pipeline.py https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event/
========================================================================

[00:04:33 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 0 crawl site (skipped via auto (actor data already exists; pass --force to re-crawl), reusing /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951/crawl_output) ===

[00:04:33 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 1 actor extraction ===
[00:04:33 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Auto-resume: 1 (url, ordinal) pairs already done, skipping them.
[00:04:33 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] All 1 pages/URLs already processed (per 1_actor_results.progress.json). Nothing to do.
[00:04:33 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Delete the progress sidecar to force a full re-run, or pass --start-page N.

[00:04:33 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 2 clean actors ===
[00:04:33 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Loaded 70 extracted records
[00:04:33 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Saved 2_actor_nodes.json with 12 canonical actor nodes

[00:04:33 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 3 interaction extraction ===
[00:04:33 +1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 7/38
[00:04:40 +8s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 11/38
[00:04:45 +13s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 12/38
[00:04:56 +24s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 13/38
[00:05:13 +41s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 14/38
[00:05:23 +51s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 15/38
[00:05:29 +57s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 16/38
[00:05:31 +59s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 18/38
[00:05:32 +1m 0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 19/38
[00:05:43 +1m 11s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 20/38
[00:05:51 +1m 20s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 21/38
