
========================================================================
RUN STARTED  2026-07-05 06:29:23
site_pipeline.py https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund/
========================================================================

[06:29:23 +0s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] === 0 crawl site ===
[06:29:57 +37s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 5/37
[06:30:07 +46s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:30:07 +46s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 6/37
[06:30:14 +54s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:30:14 +54s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 7/37
[06:30:21 +1m 3s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:30:21 +1m 3s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 8/37
[06:30:33 +1m 15s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:30:33 +1m 15s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 9/37
[06:30:44 +1m 26s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:30:44 +1m 26s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 10/37
[06:30:49 +1m 33s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:30:49 +1m 33s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 11/37
[06:30:57 +1m 41s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:30:57 +1m 41s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 12/37
[06:31:07 +1m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:31:07 +1m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 13/37
[06:31:14 +1m 58s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:31:14 +1m 58s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 14/37
[06:31:18 +2m 4s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:31:18 +2m 4s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 15/37
[06:31:27 +2m 13s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:31:27 +2m 13s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 16/37
[06:31:48 +2m 36s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:31:48 +2m 36s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 17/37
[06:31:56 +2m 44s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:31:56 +2m 44s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 18/37
[06:32:05 +2m 54s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:32:05 +2m 54s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 19/37
[06:32:12 +3m 0s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:32:12 +3m 0s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 20/37
[06:32:20 +3m 11s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:32:20 +3m 11s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 21/37
[06:32:26 +3m 17s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:32:26 +3m 17s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 22/37
[06:32:37 +3m 28s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:32:37 +3m 28s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 23/37
[06:32:46 +3m 36s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:32:46 +3m 36s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 24/37
[06:32:52 +3m 45s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:32:52 +3m 45s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 25/37
[06:33:00 +3m 52s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 26/37
[06:33:09 +4m 1s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:33:09 +4m 1s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 27/37
[06:33:13 +4m 6s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 28/37
[06:33:22 +4m 17s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:33:22 +4m 17s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 29/37
[06:33:24 +4m 19s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 30/37
[06:33:33 +4m 28s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:33:33 +4m 28s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 31/37
[06:33:46 +4m 40s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:33:46 +4m 40s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 32/37
[06:33:54 +4m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:33:54 +4m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 33/37
[06:34:21 +5m 20s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:34:21 +5m 20s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 34/37
[06:34:27 +5m 26s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:34:27 +5m 26s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 35/37
[06:34:37 +5m 35s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:34:37 +5m 35s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 36/37
[06:34:46 +5m 45s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:34:46 +5m 45s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 37/37
[06:34:50 +5m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:34:50 +5m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Saved 1_actor_results.json with 67 extracted records

[06:34:50 +5m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] === 2 clean actors ===
[06:34:50 +5m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Loaded 67 extracted records
[06:34:50 +5m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Saved 2_actor_nodes.json with 9 canonical actor nodes

[06:34:50 +5m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] === 3 interaction extraction ===
[06:34:50 +5m 51s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 11/37
[06:34:58 +5m 59s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 12/37
[06:35:11 +6m 12s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 13/37
[06:35:25 +6m 28s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 14/37
[06:35:46 +6m 49s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 15/37
[06:35:51 +6m 57s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 16/37
[06:35:58 +7m 3s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 17/37
[06:36:03 +7m 8s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 20/37
[06:36:14 +7m 20s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 21/37
[06:36:20 +7m 25s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting interactions: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 26/37
[06:36:23 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Saved 3_interaction_results.json with 23 extracted interactions.

[06:36:23 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] === 4 clean interactions ===
[06:36:23 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Saved 4_edges.json with 2 cleaned interactions.

[06:36:23 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] === 5 helix enrichment ===
[06:36:23 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Wrote 5_nodes.json (9 actors)
[06:36:23 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Wrote 5_edges.json (2 interactions)
[06:36:23 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Actor helix counts: {'Academia': 1, 'Civil Society': 2, 'Industry': 4, 'Intermediary': 1, 'Unknown': 1}
[06:36:23 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Functional-space counts: {'Innovation': 1, 'Intra-helix / Not classified': 1}

[06:36:23 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] === 6 network visualisation ===
[06:36:24 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Wrote quantum_network.html
[06:36:24 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Nodes: 9
[06:36:24 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Edges: 2

[06:36:24 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Done. Outputs written to: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f
[06:36:24 +7m 31s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Log: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f/run.log

========================================================================
RUN FINISHED 2026-07-05 06:36:24  (OK)
Started:     2026-07-05 06:29:23
Elapsed:     7m 31s
========================================================================
