
========================================================================
RUN STARTED  2026-07-05 08:47:43
site_pipeline.py https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method/
========================================================================

[08:47:43 +0s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] === 0 crawl site ===
[08:48:43 +1m 6s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:48:43 +1m 6s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 7/36
[08:48:50 +1m 12s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:48:50 +1m 12s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 8/36
[08:49:00 +1m 23s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:49:00 +1m 23s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 9/36
[08:49:07 +1m 29s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:49:07 +1m 29s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 10/36
[08:49:14 +1m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:49:14 +1m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 11/36
[08:49:21 +1m 46s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:49:21 +1m 46s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 12/36
[08:49:42 +2m 10s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:49:42 +2m 10s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 13/36
[08:49:51 +2m 19s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:49:51 +2m 19s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 14/36
[08:50:00 +2m 28s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:50:00 +2m 28s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 15/36
[08:50:07 +2m 34s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:50:07 +2m 34s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 16/36
[08:50:12 +2m 42s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:50:12 +2m 42s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 17/36
[08:50:22 +2m 52s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:50:22 +2m 52s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 18/36
[08:50:29 +2m 59s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:50:29 +2m 59s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 19/36
[08:50:37 +3m 8s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:50:37 +3m 8s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 20/36
[08:50:47 +3m 20s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:50:47 +3m 20s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 21/36
[08:51:13 +3m 49s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:51:13 +3m 49s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 22/36
[08:51:21 +3m 57s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:51:21 +3m 57s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 23/36
[08:51:33 +4m 9s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:51:33 +4m 9s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 24/36
[08:51:55 +4m 33s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:51:55 +4m 33s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 25/36
[08:52:02 +4m 40s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:52:02 +4m 40s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 26/36
[08:52:08 +4m 46s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 27/36
[08:52:14 +4m 54s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:52:14 +4m 54s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 28/36
[08:52:15 +4m 56s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 29/36
[08:52:24 +5m 5s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:52:24 +5m 5s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 30/36
[08:52:33 +5m 14s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:52:33 +5m 14s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 31/36
[08:52:40 +5m 21s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:52:40 +5m 21s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 32/36
[08:52:46 +5m 29s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:52:46 +5m 29s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 33/36
[08:52:53 +5m 36s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:52:53 +5m 36s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 34/36
[08:52:59 +5m 42s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:52:59 +5m 42s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 35/36
[08:53:07 +5m 51s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:53:07 +5m 51s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 36/36
[08:53:15 +6m 1s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:53:15 +6m 1s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Saved 1_actor_results.json with 68 extracted records

[08:53:15 +6m 1s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] === 2 clean actors ===
[08:53:15 +6m 1s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Loaded 68 extracted records
[08:53:15 +6m 1s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Saved 2_actor_nodes.json with 9 canonical actor nodes

[08:53:15 +6m 1s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] === 3 interaction extraction ===
[08:53:15 +6m 1s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 11/36
[08:53:19 +6m 5s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 12/36
[08:53:28 +6m 14s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 13/36
[08:53:39 +6m 25s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 14/36
[08:53:45 +6m 33s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 15/36
[08:54:11 +7m 2s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 16/36
[08:54:13 +7m 4s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 19/36
[08:54:15 +7m 6s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 20/36
[08:54:26 +7m 17s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 25/36
[08:54:30 +7m 22s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 29/36
[08:54:34 +7m 26s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 30/36
[08:54:37 +7m 31s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 34/36
[08:54:39 +7m 32s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting interactions: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 35/36
[08:54:46 +7m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Saved 3_interaction_results.json with 8 extracted interactions.

[08:54:46 +7m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] === 4 clean interactions ===
[08:54:46 +7m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Saved 4_edges.json with 5 cleaned interactions.

[08:54:46 +7m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] === 5 helix enrichment ===
[08:54:46 +7m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Wrote 5_nodes.json (9 actors)
[08:54:46 +7m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Wrote 5_edges.json (5 interactions)
[08:54:46 +7m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Actor helix counts: {'Academia': 2, 'Civil Society': 3, 'Industry': 1, 'Unknown': 3}
[08:54:46 +7m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Functional-space counts: {'Innovation': 5}

[08:54:46 +7m 39s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] === 6 network visualisation ===
[08:54:46 +7m 40s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Wrote quantum_network.html
[08:54:46 +7m 40s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Nodes: 9
[08:54:46 +7m 40s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Edges: 1

[08:54:46 +7m 40s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Done. Outputs written to: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c
[08:54:46 +7m 40s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Log: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c/run.log

========================================================================
RUN FINISHED 2026-07-05 08:54:46  (OK)
Started:     2026-07-05 08:47:43
Elapsed:     7m 40s
========================================================================
