
========================================================================
RUN STARTED  2026-07-02 12:29:32
site_pipeline.py https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman/
========================================================================

[12:29:32 +0s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] === 0 crawl site ===
[12:31:46 +2m 14s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:31:46 +2m 14s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 19/34
[12:31:53 +2m 21s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:31:53 +2m 21s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 20/34
[12:31:59 +2m 27s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:31:59 +2m 27s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 21/34
[12:32:06 +2m 34s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:32:06 +2m 34s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 22/34
[12:32:12 +2m 40s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:32:12 +2m 40s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 23/34
[12:32:18 +2m 46s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 24/34
[12:32:25 +2m 53s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:32:25 +2m 53s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 25/34
[12:32:31 +2m 58s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:32:31 +2m 58s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 26/34
[12:32:37 +3m 5s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:32:37 +3m 5s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 27/34
[12:32:45 +3m 13s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:32:45 +3m 13s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 28/34
[12:32:52 +3m 20s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:32:52 +3m 20s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 29/34
[12:32:59 +3m 26s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:32:59 +3m 26s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 30/34
[12:33:06 +3m 34s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:33:06 +3m 34s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 31/34
[12:33:14 +3m 42s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:33:14 +3m 42s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 32/34
[12:33:20 +3m 48s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:33:20 +3m 48s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 33/34
[12:33:28 +3m 55s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:33:28 +3m 55s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 34/34
[12:33:35 +4m 3s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:33:35 +4m 3s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Saved 1_actor_results.json with 67 extracted records

[12:33:35 +4m 3s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] === 2 clean actors ===
[12:33:35 +4m 3s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Loaded 67 extracted records
[12:33:35 +4m 3s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Saved 2_actor_nodes.json with 13 canonical actor nodes

[12:33:35 +4m 3s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] === 3 interaction extraction ===
[12:33:36 +4m 3s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 7/34
[12:33:45 +4m 13s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 11/34
[12:34:03 +4m 30s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 12/34
[12:34:22 +4m 50s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 13/34
[12:34:43 +5m 11s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 14/34
[12:34:53 +5m 21s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 15/34
[12:35:00 +5m 28s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 16/34
[12:35:04 +5m 32s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 17/34
[12:35:09 +5m 37s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 18/34
[12:35:15 +5m 43s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 19/34
[12:35:20 +5m 48s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 20/34
[12:35:27 +5m 55s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting interactions: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 23/34
[12:35:31 +5m 59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Saved 3_interaction_results.json with 28 extracted interactions.

[12:35:31 +5m 59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] === 4 clean interactions ===
[12:35:31 +5m 59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Saved 4_edges.json with 15 cleaned interactions.

[12:35:31 +5m 59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] === 5 helix enrichment ===
[12:35:31 +5m 59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Wrote 5_nodes.json (13 actors)
[12:35:31 +5m 59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Wrote 5_edges.json (15 interactions)
[12:35:31 +5m 59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Actor helix counts: {'Academia': 4, 'Civil Society': 3, 'Industry': 5, 'Unknown': 1}
[12:35:31 +5m 59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Functional-space counts: {'Innovation': 5, 'Intra-helix / Not classified': 8, 'Unknown': 2}

[12:35:31 +5m 59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] === 6 network visualisation ===
[12:35:32 +6m 0s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Wrote quantum_network.html
[12:35:32 +6m 0s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Nodes: 13
[12:35:32 +6m 0s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Edges: 7

[12:35:32 +6m 0s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Done. Outputs written to: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2
[12:35:32 +6m 0s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Log: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2/run.log

========================================================================
RUN FINISHED 2026-07-02 12:35:32  (OK)
Started:     2026-07-02 12:29:32
Elapsed:     6m 0s
========================================================================
